SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC40713,14,3,3,3,3,0,0,3,0,36
SSC40714,24,6,14,8,15,3,12,15,3,111
SSC40715,3,0,0,0,0,0,0,0,0,3
SSC40716,10,8,4,3,7,3,4,3,0,39
SSC40717,4,0,0,0,0,0,0,0,0,3
SSC40718,33,22,46,13,33,12,16,34,0,214
SSC40719,24,18,7,13,7,5,5,7,4,95
SSC40720,0,0,3,0,0,0,0,0,0,10
SSC40721,5,4,0,0,0,3,0,6,0,23
SSC40722,127,332,156,189,190,131,73,194,13,1394
SSC40723,22,3,4,0,6,4,0,6,4,54
SSC40724,12,8,9,3,3,0,3,5,0,38
SSC40725,15,3,7,0,3,3,7,6,0,55
SSC40726,5,0,3,0,3,0,5,0,0,20
SSC40727,10,3,0,5,0,0,0,4,0,26
SSC40728,0,0,0,0,0,0,0,0,0,0
SSC40729,0,0,0,0,0,0,0,0,0,0
SSC40730,0,0,0,0,0,0,0,0,0,0
SSC40731,0,0,0,0,0,0,0,3,0,3
SSC40732,0,0,0,0,0,0,0,0,0,0
SSC40733,0,0,0,0,0,0,0,0,0,0
SSC40734,0,0,0,0,0,0,0,0,0,0
SSC40735,0,0,0,0,0,0,0,0,0,0
SSC40736,0,0,0,0,0,0,0,0,0,0
SSC40737,15,0,0,3,0,0,4,3,0,28
SSC40738,0,0,0,0,0,0,0,0,0,0
SSC40739,0,0,0,0,0,0,0,0,0,3
SSC40740,143,35,48,21,34,32,33,55,3,398
SSC40741,89,37,21,24,17,13,12,34,10,245
SSC40742,0,0,0,0,0,0,0,0,0,0
SSC40743,240,444,278,260,326,181,93,158,29,2010
SSC40744,187,310,271,229,273,151,124,174,28,1747
SSC40745,74,46,50,32,27,23,23,34,3,317
SSC40746,0,0,0,0,0,0,3,0,0,11
