SSC_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SSC32462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,3,3,0,12,0,3,3,0,0,0,0,3,0,11,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,0,9,4,0,37
SSC32463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,14
SSC32464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,4
SSC32465,0,0,4,8,3,13,3,18,0,46,3,3,14,14,13,11,10,21,0,85,3,26,21,24,22,9,27,43,8,186,13,20,23,24,30,11,25,32,5,181,17,11,22,22,17,5,37,48,3,173,3,12,14,22,17,8,22,27,3,135,3,3,5,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,73,98,114,99,56,125,192,24,829
SSC32466,0,0,6,0,0,0,0,0,0,14,0,0,3,0,6,0,0,3,0,14,0,3,11,0,6,0,3,3,0,27,3,0,11,0,3,0,0,3,0,24,3,9,6,3,3,3,0,4,0,33,3,3,7,3,6,0,0,8,0,30,3,3,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,49,11,19,5,10,20,0,151
SSC32467,0,7,7,11,5,26,7,14,0,77,8,63,20,57,37,49,16,42,11,296,44,166,51,75,53,74,36,94,17,609,60,143,49,27,53,30,18,38,3,411,67,105,46,23,46,23,18,18,21,354,41,61,20,18,25,18,14,11,4,215,14,26,7,4,10,4,5,3,0,81,3,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,236,564,197,222,226,222,107,220,52,2050
SSC32468,21,22,65,173,35,295,17,107,14,753,55,159,119,213,140,239,30,92,24,1075,293,525,347,257,267,237,66,137,32,2148,365,578,296,269,338,195,80,133,40,2292,393,494,293,255,396,291,80,181,38,2415,234,364,176,162,320,234,94,141,33,1750,79,111,55,34,105,75,37,49,9,546,6,14,0,4,13,11,4,0,6,47,0,0,0,0,0,0,0,0,0,3,1439,2256,1349,1361,1617,1583,402,835,184,11026
SSC32469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,3,6,0,31
SSC32470,0,3,5,12,3,18,3,20,0,69,9,32,18,22,13,17,3,9,3,128,63,183,39,27,75,46,6,13,13,472,77,168,35,27,54,13,9,13,12,404,64,79,19,17,47,17,7,8,3,262,44,27,10,3,25,14,6,13,0,142,16,15,0,0,7,0,5,0,3,46,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,284,510,135,98,226,134,39,80,34,1535
SSC32471,7,16,35,72,25,116,15,87,0,370,42,79,129,102,82,97,36,74,4,640,183,532,316,181,279,114,102,136,31,1880,204,496,291,142,335,117,127,149,28,1886,178,322,188,168,270,97,89,128,23,1465,108,211,147,104,249,87,93,96,9,1115,28,46,34,18,58,26,29,31,12,275,5,3,0,0,0,3,0,0,3,22,0,0,0,0,0,0,0,0,0,3,756,1703,1142,790,1301,662,494,688,106,7651
SSC32472,0,0,3,9,3,8,3,10,0,34,0,12,20,24,7,4,0,15,0,78,19,40,28,17,20,11,12,18,0,166,21,26,18,13,9,11,11,17,0,128,28,20,20,15,10,9,11,22,4,129,22,17,11,21,13,5,16,30,0,136,10,0,4,5,0,3,0,3,0,29,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,101,116,105,105,71,50,53,105,8,715
