SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC20210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,0,4,0,20
SSC20211,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,15,6,7,0,51
SSC20212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,4,4,0,0,0,29
SSC20213,9,39,31,36,40,42,21,29,0,250,11,32,24,24,40,72,20,43,44,318,228,1019,849,900,1231,1575,776,1226,92,7895
SSC20214,5,71,60,62,72,97,44,79,3,504,18,43,43,43,87,113,36,64,95,540,387,1637,1355,1468,2198,2907,1247,1806,200,13208
SSC20215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
SSC20216,0,3,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,6,0,9,6,8,9,9,3,25,7,20,0,86
SSC20217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14,0,19
SSC20218,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,3,4,9,3,4,7,11,0,0,50
SSC20219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12
SSC20220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,4,9,4,4,25,0,71
SSC20221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,16
SSC20222,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,10,6,8,12,14,7,24,0,77
SSC20223,15,104,94,122,187,181,97,120,11,924,26,94,76,94,201,235,81,128,159,1091,679,2798,2275,2536,4446,4690,2141,3192,354,23101
SSC20224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,4,3,5,12,4,3,17,0,48
SSC20225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,9,4,3,3,3,40
SSC20226,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,12,6,7,3,10,3,11,5,49
SSC20227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC20228,0,0,0,3,0,4,0,0,0,7,3,0,0,3,0,0,0,0,3,15,15,21,30,31,41,43,28,38,10,250
SSC20229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,5,4,6,3,0,29
SSC20230,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,8,3,9,14,12,12,36,9,37,8,135
SSC20231,0,3,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,8,8,21,22,16,24,20,14,23,0,152
SSC20232,0,9,0,3,12,8,3,3,0,47,0,6,7,4,18,13,5,12,15,79,33,80,87,121,232,250,104,165,31,1110
SSC20233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20234,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,11,12,18,21,25,6,20,3,121
SSC20235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5
SSC20236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,5,6,0,20
SSC20237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,13,0,26
SSC20238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,10
SSC20240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,3,7,0,22
SSC20241,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,3,5,15,6,3,22,3,62
SSC20242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20243,0,0,4,3,3,0,0,0,0,12,0,0,0,0,3,0,0,0,0,4,14,42,25,40,30,40,29,60,3,284
SSC20244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC20245,0,0,0,0,3,3,0,3,0,16,3,0,0,3,0,3,0,3,0,10,15,35,34,45,50,49,30,45,4,305
SSC20246,0,5,0,0,0,4,0,3,0,13,0,3,0,0,0,7,0,4,0,18,20,52,42,52,56,61,26,77,7,398
