SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC12233,0,0,0,0,3,0,3,0,0,6,0,0,4,0,3,0,0,0,0,10,7,13,14,38,35,38,23,3,0,165
SSC12234,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,4,3,15,9,10,0,0,0,51
SSC12235,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,6,0,0,0,9,10,3,18,22,51,50,28,3,0,185
SSC12236,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,9,3,8,9,0,0,0,32
SSC12237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,11,15,20,11,0,0,67
SSC12238,6,9,23,16,16,22,7,0,0,104,8,10,19,16,24,20,3,3,0,95,225,229,512,616,691,592,167,15,0,3038
SSC12239,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,18,14,24,16,14,3,0,87
SSC12240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
SSC12241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12242,0,3,3,0,3,0,0,0,0,12,0,5,3,4,3,3,5,0,0,30,27,55,113,109,97,91,39,7,0,541
SSC12243,4,4,13,13,18,18,0,0,0,67,4,3,6,14,8,6,3,0,0,52,106,77,153,282,390,245,45,4,0,1300
SSC12244,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,9,10,18,35,43,10,0,3,125
SSC12245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,7,4,6,0,0,29
SSC12246,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,4,6,7,15,11,5,0,0,56
SSC12247,0,3,6,4,13,3,0,0,0,43,0,8,9,14,11,17,5,0,0,64,78,134,185,184,280,248,41,6,0,1164
SSC12248,3,13,30,14,8,4,0,0,0,74,0,6,18,21,11,13,3,0,0,69,60,144,384,336,313,194,30,0,0,1464
SSC12249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,3,0,0,25
SSC12250,0,5,12,17,3,4,0,0,0,48,0,3,3,7,10,9,6,0,0,43,57,147,283,220,263,190,28,0,0,1191
SSC12251,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,15,16,31,30,57,45,11,3,0,200
SSC12252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC12253,6,16,22,17,25,18,4,0,0,102,4,12,13,11,21,12,3,0,0,83,131,220,368,363,508,343,59,3,3,1998
SSC12254,0,0,0,0,3,3,0,0,0,5,0,3,0,0,9,4,0,0,0,16,11,16,22,39,86,52,9,3,0,232
SSC12255,3,8,6,4,8,7,0,0,0,32,0,3,3,3,9,5,3,0,0,28,45,26,62,82,138,93,34,5,0,489
SSC12256,6,5,3,3,8,6,0,0,0,36,0,0,3,6,4,0,0,0,0,16,70,72,107,134,209,143,22,0,0,759
SSC12257,5,22,66,49,45,25,3,0,0,211,17,57,167,101,94,38,6,0,0,481,134,605,1792,1515,937,589,90,6,0,5669
SSC12258,0,4,0,3,0,0,0,0,0,9,0,0,0,3,0,3,0,0,0,3,29,14,18,46,53,36,6,0,0,211
SSC12259,0,0,0,10,8,3,0,0,0,18,0,0,3,4,3,7,0,0,0,12,15,11,61,76,72,69,9,8,0,313
SSC12260,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,11,5,3,7,0,0,43
SSC12261,5,12,53,28,34,20,3,0,0,149,12,32,57,42,51,30,8,0,0,229,175,352,841,729,659,488,69,3,3,3314
SSC12262,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,7,3,12,18,8,3,0,0,51
SSC12263,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,10,9,16,51,41,35,8,0,0,164
SSC12264,7,10,7,20,16,12,0,3,0,80,0,6,13,12,13,6,0,0,0,56,134,226,479,529,568,374,58,5,0,2373
SSC12265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,0,0,15
