SA2_MAINCODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
106011112,8,35,25,30,54,74,35,71,4,337,4,19,9,25,29,38,21,40,60,241,237,837,687,753,1134,1049,1020,1691,161,7570
106011113,4,11,8,16,12,15,14,16,0,90,6,6,12,5,14,21,3,13,34,113,102,243,235,221,278,345,235,469,62,2197
106021114,0,14,12,18,27,20,14,15,0,124,0,13,14,8,22,17,10,10,31,123,99,325,289,309,611,511,322,424,60,2941
106021115,13,53,49,51,116,90,52,90,6,527,11,54,23,25,73,79,22,50,83,426,420,1455,1260,1327,2341,2150,1167,1639,187,11957
106021116,3,23,11,16,32,35,12,33,3,170,8,14,14,8,5,18,6,25,19,115,123,440,416,376,609,629,392,676,49,3713
106021117,15,63,34,42,101,88,56,90,0,504,7,32,28,34,85,80,27,48,73,410,373,1121,976,1112,1884,1624,1050,1536,157,9845
106021118,5,24,27,28,47,38,18,45,3,232,3,13,12,13,33,47,16,25,27,190,181,571,551,539,983,977,500,758,61,5117
106031119,3,13,8,16,22,16,15,14,5,105,3,10,4,10,6,17,5,16,22,96,88,331,273,312,406,406,194,313,53,2375
106031120,5,10,9,12,25,13,11,17,3,104,6,6,13,5,20,17,9,6,22,111,115,298,260,301,424,348,189,297,45,2282
106031121,7,43,44,27,35,47,30,45,0,280,10,41,29,36,41,56,11,28,73,320,330,1155,950,992,1328,1273,647,969,139,7779
106031122,5,32,14,26,51,53,31,45,0,263,6,25,15,29,58,33,11,31,33,232,180,622,522,693,1140,929,476,599,92,5264
106031123,0,10,20,11,31,31,16,26,3,145,8,18,3,8,16,22,10,16,19,119,118,336,325,329,449,455,257,454,51,2769
106031124,0,11,6,4,9,14,0,11,0,54,4,7,5,6,10,4,5,3,13,50,59,215,170,198,232,217,112,194,25,1412
106031125,11,21,13,24,54,48,27,55,3,263,10,18,9,15,34,40,12,21,60,216,251,682,609,706,1170,1122,588,804,142,6072
106041126,10,23,20,20,44,36,26,30,3,207,4,24,10,12,25,13,14,21,38,164,197,466,455,500,910,689,672,880,96,4860
106041127,0,5,4,8,5,14,3,16,0,51,4,6,4,5,6,13,6,4,26,79,91,202,156,184,268,294,229,407,46,1868
106041128,3,10,10,9,20,23,6,15,0,98,7,8,3,7,17,16,8,9,20,92,90,293,235,302,498,404,282,477,53,2641
106041129,5,11,5,10,28,24,6,17,5,121,3,17,13,11,19,28,3,23,25,138,129,382,347,404,553,577,363,814,81,3656
107011131,20,42,41,42,105,93,45,60,4,454,18,44,33,35,78,77,32,38,66,427,401,1068,1053,1149,2066,1811,839,1122,153,9656
107011132,5,23,22,17,44,39,12,29,3,176,6,14,14,7,15,32,6,23,27,144,159,485,451,454,921,780,415,543,54,4273
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107011134,6,48,26,19,55,56,29,44,3,291,13,23,27,19,43,47,18,29,52,262,242,912,778,753,1410,1264,644,915,117,7039
107011545,8,22,27,28,60,58,25,24,4,260,8,15,16,15,54,59,18,24,60,272,204,566,549,608,1128,943,382,507,115,5007
107011546,4,13,8,17,40,39,11,16,0,152,3,12,13,9,34,17,19,8,46,165,122,337,355,357,710,573,246,281,86,3066
107011547,0,12,7,0,20,8,3,6,0,54,0,13,0,3,16,16,7,0,12,72,58,200,157,204,325,299,127,194,26,1587
