SAL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL13704,15,4,3,0,53
SAL13705,255,215,95,30,1308
SAL13706,26,35,5,0,133
SAL13707,11,12,7,0,49
SAL13708,7,4,4,0,17
SAL13709,42,48,33,8,247
SAL13710,147,145,114,28,741
SAL13711,5,5,0,0,29
SAL13712,195,207,102,32,1007
SAL13713,143,148,63,10,703
SAL13714,1122,595,277,103,12099
SAL13715,407,450,270,112,1930
SAL13716,872,502,274,150,6956
SAL13717,190,133,46,5,898
SAL13718,55,55,25,8,295
SAL13719,31,33,9,0,164
SAL13720,24,18,5,0,180
SAL13721,8,9,5,0,40
SAL13722,4,3,0,0,21
SAL13723,0,0,0,0,6
SAL13724,29,38,13,4,105
SAL13725,0,0,0,0,0
SAL13726,433,413,255,95,2374
SAL13727,82,55,25,7,350
SAL13728,6,7,8,0,22
SAL13729,52,40,11,0,652
SAL13730,819,506,256,74,12867
SAL13731,171,81,12,4,3441
SAL13732,900,693,527,223,5570
SAL13733,279,173,120,37,1685
SAL13734,0,0,0,0,19
SAL13735,0,6,0,0,14
SAL13736,0,5,0,0,30
SAL13737,194,93,33,3,789
SAL13738,72,47,13,0,244
SAL13739,44,45,9,0,269
SAL13740,22,20,5,3,128
SAL13741,3,0,0,0,14
SAL13742,304,269,121,35,2553
SAL13743,32,21,10,0,118
SAL13744,5,3,0,0,12
SAL13745,27,37,15,6,120
SAL13746,9,7,0,0,71
SAL13747,235,103,15,0,3575
SAL13748,11,11,0,0,81
SAL13749,100,73,44,4,486
SAL13750,0,0,0,0,0
SAL13751,5,6,3,0,17
SAL13752,6,12,0,0,38
SAL13753,117,157,64,4,567
SAL13754,11,3,3,0,26
SAL13755,12,12,0,0,67
SAL13756,10,3,0,0,51
SAL13757,137,72,25,4,1010
SAL13758,13,13,0,0,49
SAL13759,35,14,10,3,132
SAL13760,10,7,0,0,19
SAL13761,7,7,0,0,26
SAL13762,6,9,17,20,97
SAL13763,9,7,0,0,71
SAL13764,283,258,144,38,1464
SAL13765,40,28,11,0,120
SAL13766,7,0,0,0,22
SAL13767,0,0,0,0,0
SAL13768,28,25,0,0,96
SAL13769,3,0,0,0,12
SAL13770,97,79,42,5,384
SAL13771,0,3,4,0,16
SAL13772,0,8,0,0,13
SAL13773,44,38,18,0,264
SAL13774,42,41,7,8,195
SAL13775,25,26,5,0,115
SAL13776,0,3,0,0,7
SAL13777,20,17,7,4,95
SAL13778,36,35,8,0,202
SAL13779,1198,1010,765,356,7278
SAL13780,30,35,19,0,157
SAL13781,116,132,191,204,1083
SAL13782,21,22,8,0,96
SAL13783,35,32,9,6,180
SAL13784,192,131,103,88,1147
SAL13785,12,9,0,0,43
SAL13786,101,107,59,9,667
SAL13787,162,130,64,14,940
SAL13788,17,16,8,0,118
SAL13789,222,206,88,29,904
SAL13790,220,142,58,19,1270
SAL13791,12,8,5,0,52
SAL13792,18,14,9,5,75
SAL13793,15,3,0,0,28
SAL13794,311,627,450,156,1875
SAL13795,145,95,43,8,1019
SAL13796,73,55,12,0,314
SAL13797,462,266,144,71,2908
SAL13798,34,22,10,5,140
SAL13799,379,302,156,65,1994
SAL13800,260,130,54,10,1913
SAL13801,3,0,0,0,9
SAL13802,239,201,115,33,1383
SAL13803,7,0,0,0,33
SAL13804,38,36,11,3,190
SAL13805,145,84,46,11,723
SAL13806,0,6,0,0,14
SAL13807,384,410,189,47,1881
SAL13808,211,139,74,23,1343
SAL13809,24,28,12,3,141
SAL13810,33,41,25,3,150
SAL13811,0,0,0,0,9
SAL13812,54,34,3,0,162
SAL13813,5,0,0,0,13
SAL13814,0,4,3,0,19
SAL13815,12,3,4,0,47
SAL13816,28,17,5,7,165
SAL13817,312,231,90,25,1718
SAL13818,0,0,0,0,0
SAL13819,313,249,165,69,1746
SAL13820,1260,1079,531,112,7156
SAL13821,8,3,3,0,38
SAL13822,34,33,5,0,170
SAL13823,22,10,0,3,46
SAL13824,3,0,0,0,9
SAL13825,26,16,4,0,88
SAL13826,32,21,8,0,193
SAL13827,8,14,7,0,54
SAL13828,0,0,0,0,0
SAL13829,15,0,4,0,34
SAL13830,20,11,4,0,70
SAL13831,5,0,0,0,12
SAL13832,47,32,11,4,205
SAL13833,0,0,0,0,0
SAL13834,363,382,177,57,2084
SAL13835,157,135,70,22,827
SAL13836,0,0,0,0,0
SAL13837,0,0,0,0,0
SAL13838,9,0,0,0,33
SAL13839,0,0,0,0,4
SAL13840,0,0,0,0,0
SAL13841,3,0,0,0,16
SAL13842,183,153,64,14,1447
SAL13843,122,73,38,12,617
SAL13844,32,9,12,0,131
SAL13845,5,0,3,0,32
SAL13846,3,0,0,0,12
SAL13847,208,154,51,10,1404
SAL13848,0,0,0,0,0
SAL13849,19,6,7,0,44
SAL13850,19,25,7,0,140
SAL13851,652,444,217,63,8482
SAL13852,16,15,18,0,94
SAL13853,7,0,0,0,19
SAL13854,112,98,30,8,578
SAL13855,5,7,3,0,31
SAL13856,75,72,21,4,483
SAL13857,0,0,0,0,0
SAL13858,34,22,0,0,159
SAL13859,16,17,3,0,80
SAL13860,9,8,5,0,29
SAL13861,38,51,14,4,277
SAL13862,7,0,0,0,19
SAL13863,337,302,163,114,2453
SAL13864,748,544,204,71,3721
SAL13865,48,36,13,4,167
SAL13866,816,516,264,74,5094
SAL13867,678,353,104,23,4951
SAL13868,35,16,6,5,275
SAL13869,114,101,27,3,1164
SAL13870,20,6,4,0,66
SAL13871,11,0,4,0,17
SAL13872,3,4,0,0,22
SAL13873,683,510,255,49,5345
SAL13874,4,0,0,0,7
SAL13875,0,0,0,0,10
SAL13876,15,0,0,0,26
SAL13877,10,6,3,0,40
SAL13878,7,6,0,0,50
SAL13879,0,0,0,0,0
SAL13880,165,80,25,5,1062
SAL13881,19,8,5,0,63
SAL13882,11,4,3,3,33
SAL13883,0,0,0,0,0
SAL13884,8,0,0,0,27
SAL13885,3,0,0,0,19
SAL13886,0,0,0,0,6
SAL13887,18,8,0,0,68
SAL13888,0,0,0,0,25
SAL13889,6,0,0,0,21
SAL13890,11,6,0,0,42
SAL13891,49,30,15,0,260
SAL13892,189,104,51,6,1010
SAL13893,126,109,40,13,591
SAL13894,0,0,0,0,8
SAL13895,65,68,23,9,342
SAL13896,21,37,20,0,213
SAL13897,0,0,0,0,5
SAL13898,8,7,3,0,22
SAL13899,0,0,0,0,3
SAL13900,36,29,10,3,147
SAL13901,6,0,0,0,19
SAL13902,0,0,0,0,23
SAL13903,250,320,168,51,1350
SAL13904,0,0,0,0,0
SAL13905,191,199,87,20,1421
SAL13906,0,0,0,0,0
SAL13907,25,36,19,3,127
SAL13908,136,163,43,19,657
SAL13909,0,0,0,0,9
SAL13910,0,0,0,0,0
SAL13911,7,9,3,0,27
SAL13912,143,104,24,11,689
SAL13913,17,8,0,0,73
SAL13914,47,26,19,3,188
SAL13915,8,7,3,0,32
SAL13916,0,5,0,0,13
SAL13917,9,11,3,0,55
SAL13918,20,9,8,0,92
SAL13919,3,7,0,4,40
SAL13920,19,19,12,6,164
SAL13921,15,9,5,5,67
SAL13922,0,5,0,0,8
SAL13923,0,4,6,0,19
SAL13924,11,3,0,0,38
SAL13925,955,609,292,73,8640
SAL13926,13,5,0,4,32
SAL13927,3,10,0,0,16
SAL13928,0,0,0,0,6
SAL13929,31,19,0,0,124
SAL13930,444,395,292,143,2918
SAL13931,12,5,0,0,23
SAL13932,28,24,5,0,125
SAL13933,11,4,3,0,31
SAL13934,59,68,40,10,286
SAL13935,10,0,0,0,35
SAL13936,497,522,329,132,2905
SAL13937,14,24,0,0,41
SAL13938,18,15,4,0,68
SAL13939,4,3,0,0,28
SAL13940,10,4,4,0,16
SAL13941,46,29,14,11,199
SAL13942,0,0,0,0,0
SAL13943,332,310,168,81,2114
SAL13944,0,0,0,0,0
SAL13945,34,32,9,3,132
SAL13946,53,69,31,10,419
SAL13947,283,173,103,31,1674
SAL13948,27,15,7,0,91
SAL13949,0,0,0,0,0
SAL13950,73,58,40,24,431
SAL13951,63,49,17,0,242
SAL13952,146,94,56,15,1171
SAL13953,3,7,0,0,26
SAL13954,8,12,5,0,43
SAL13955,3,0,0,0,8
SAL13956,0,0,0,0,3
SAL13957,3,3,0,0,26
SAL13958,50,38,25,14,255
SAL13959,0,0,0,0,21
SAL13960,15,10,7,0,56
SAL13961,0,4,0,0,8
SAL13962,0,10,4,0,27
SAL13963,46,33,11,0,167
SAL13964,10,17,3,0,68
SAL13965,34,35,7,6,157
SAL13966,21,3,3,5,68
SAL13967,12,11,3,0,40
SAL13968,66,39,22,4,465
SAL13969,136,71,48,10,646
SAL13970,11,15,4,0,48
SAL13971,12,0,0,0,35
SAL13972,34,23,14,8,177
SAL13973,0,0,0,0,0
SAL13974,27,29,0,0,142
SAL13975,19,16,9,0,103
SAL13976,82,77,22,0,949
SAL13977,18,6,0,0,47
SAL13978,8,16,3,0,54
SAL13979,142,119,71,23,823
SAL13980,417,387,246,84,2683
SAL13981,18,7,7,0,87
SAL13982,61,29,6,4,257
SAL13983,3,0,0,0,11
SAL13984,477,339,230,94,2845
SAL13985,10,6,0,5,44
SAL13986,8,3,3,0,22
SAL13987,552,702,451,233,3041
SAL13988,5,0,3,0,23
SAL13989,34,27,6,0,138
SAL13990,0,4,0,0,8
SAL13991,378,464,260,98,1931
SAL13992,7,8,0,0,49
SAL13993,27,19,4,0,88
SAL13994,18,12,3,0,90
SAL13995,19,10,3,0,57
SAL13996,0,4,0,0,11
SAL13997,349,424,188,42,1388
SAL13998,1380,990,601,268,7822
SAL13999,8,8,0,0,39
SAL14000,118,68,31,4,1455
SAL14001,306,186,70,33,1844
SAL14002,852,917,578,285,5102
SAL14003,600,603,406,205,3706
SAL14004,463,441,281,118,3087
SAL14005,3,0,0,0,19
SAL14006,18,9,9,0,71
SAL14007,0,0,0,0,0
SAL14008,0,0,0,0,0
SAL14009,8,0,0,0,26
SAL14010,6,3,0,0,25
SAL14011,36,23,7,0,148
SAL14012,66,48,13,0,265
SAL14013,18,25,8,0,68
SAL14014,13,9,0,3,57
SAL14015,23,15,4,0,96
SAL14016,12,7,3,0,51
SAL14017,8,5,0,0,21
SAL14018,88,70,16,5,394
SAL14019,20,13,9,0,93
SAL14020,3,7,0,0,49
SAL14021,629,606,357,121,3446
SAL14022,58,59,25,8,324
SAL14023,28,12,7,0,117
SAL14024,281,166,54,22,5310
SAL14025,1427,1170,639,242,8540
SAL14026,349,288,185,129,2543
SAL14027,0,3,0,0,8
SAL14028,5,8,0,0,14
SAL14029,33,31,10,0,152
SAL14030,0,0,5,0,3
SAL14031,4,0,0,0,4
SAL14032,0,3,0,0,16
SAL14033,38,28,8,0,156
SAL14034,0,0,0,0,0
SAL14035,5,4,0,0,25
SAL14036,14,4,0,0,49
SAL14037,8,7,5,0,39
SAL14038,19,24,6,0,78
SAL14039,38,19,8,3,131
SAL14040,8,8,6,0,78
SAL14041,0,0,0,0,0
SAL14042,18,10,8,4,57
SAL14043,13,11,0,0,37
SAL14044,7,4,0,0,14
SAL14045,0,0,0,0,4
SAL14046,15,16,0,3,67
SAL14047,7,4,0,0,37
SAL14048,30,29,15,0,109
SAL14049,0,0,0,0,0
SAL14050,0,3,0,0,3
SAL14051,79,74,20,0,298
SAL14052,6,0,7,0,26
SAL14053,36,27,5,5,183
SAL14054,0,0,0,0,0
SAL14055,20,11,4,0,51
SAL14056,6,4,0,0,15
SAL14057,7,0,0,0,17
SAL14058,0,0,0,0,5
SAL14059,101,86,31,0,497
SAL14060,0,7,0,0,22
SAL14061,10,16,0,0,61
SAL14062,8,6,0,0,34
SAL14063,15,16,0,0,58
SAL14064,6,4,0,0,27
SAL14065,0,4,0,0,8
SAL14066,7,13,7,0,56
SAL14067,15,11,9,0,73
SAL14068,48,34,14,5,158
SAL14069,260,236,90,29,1322
SAL14070,43,23,3,5,138
SAL14071,6,0,0,0,16
SAL14072,0,0,0,0,16
SAL14073,76,72,11,4,452
SAL14074,0,0,0,0,3
SAL14075,30,32,6,3,124
SAL14076,0,4,0,0,16
SAL14077,20,17,7,0,73
SAL14078,23,22,7,0,107
SAL14079,381,361,163,48,1679
SAL14080,18,25,0,5,91
SAL14081,67,58,16,3,367
SAL14082,41,30,3,0,213
SAL14083,624,538,270,56,3241
SAL14084,9,9,0,0,33
SAL14085,165,103,35,7,602
SAL14086,177,193,98,21,845
SAL14087,116,113,52,14,688
SAL14088,7,12,4,0,61
SAL14089,997,710,371,201,5637
SAL14090,27,27,13,0,140
SAL14091,45,24,8,0,160
SAL14092,328,199,72,27,2763
SAL14093,466,492,173,54,2295
SAL14094,109,90,50,19,557
SAL14095,0,0,0,0,0
SAL14096,10,13,5,0,46
SAL14097,182,78,23,4,933
SAL14098,194,134,41,9,1832
SAL14099,0,0,0,0,0
SAL14100,34,34,0,0,106
SAL14101,594,431,262,127,3986
SAL14102,52,44,25,3,161
SAL14103,1792,1297,962,610,10744
SAL14104,411,339,240,115,5020
SAL14105,16,11,0,0,49
SAL14106,15,9,3,0,69
SAL14107,262,194,85,17,1762
SAL14108,24,10,9,0,100
SAL14109,11,4,3,0,58
SAL14110,10,9,3,0,66
SAL14111,219,216,116,24,1178
SAL14112,8,6,0,4,35
SAL14113,3,4,0,0,18
SAL14114,183,110,30,9,981
SAL14115,86,42,25,6,363
SAL14116,73,30,13,0,197
SAL14117,104,118,28,3,536
SAL14118,0,0,0,0,5
SAL14119,122,101,39,9,768
SAL14120,83,103,36,3,330
SAL14121,88,51,16,3,334
SAL14122,98,58,19,4,529
SAL14123,5,3,0,0,46
SAL14124,11,8,0,0,37
SAL14125,5,8,4,5,32
SAL14126,10,0,0,0,24
SAL14127,33,15,4,0,137
SAL14128,0,0,0,0,9
SAL14129,25,9,14,0,106
SAL14130,54,46,32,0,328
SAL14131,36,29,8,9,145
SAL14132,136,127,50,7,847
SAL14133,0,0,0,0,17
SAL14134,0,0,4,0,4
SAL14135,0,0,0,0,4
SAL14136,918,672,375,229,6587
SAL14137,4,5,0,0,23
SAL14138,22,14,7,0,72
SAL14139,10,3,0,0,33
SAL14140,680,474,206,71,3785
SAL14141,267,173,46,10,1106
SAL14142,0,3,0,0,22
SAL14143,0,0,4,0,25
SAL14144,6,4,0,0,33
SAL14145,36,36,11,0,198
SAL14146,18,19,10,0,79
SAL14147,0,0,0,0,9
SAL14148,5,0,0,0,19
SAL14149,11,7,3,0,64
SAL14150,8,10,6,0,54
SAL14151,3,3,0,0,23
SAL14152,10,3,0,0,35
SAL14153,336,399,175,31,1660
SAL14154,25,17,4,0,104
SAL14155,11,3,3,0,38
SAL14156,0,4,4,0,21
SAL14157,25,22,3,0,68
SAL14158,173,136,76,48,1019
SAL14159,330,268,213,305,2870
SAL14160,173,100,68,27,1578
SAL14161,0,0,0,0,21
SAL14162,85,62,19,8,387
SAL14163,8,3,0,3,37
SAL14164,0,4,0,0,13
SAL14165,18,25,9,0,90
SAL14166,140,84,45,10,815
SAL14167,115,87,57,18,604
SAL14168,16,6,0,0,69
SAL14169,458,336,205,87,2640
SAL14170,5,0,0,0,24
SAL14171,719,665,370,122,4391
SAL14172,51,26,20,4,332
SAL14173,0,0,0,0,0
SAL14174,8,10,7,0,50
SAL14175,13,0,0,0,36
SAL14176,84,39,19,4,523
SAL14177,5,9,4,0,45
SAL14178,0,3,6,0,19
SAL14179,4,5,4,0,30
SAL14180,9,4,8,0,45
SAL14181,47,35,13,0,222
SAL14182,6,0,4,0,26
SAL14183,381,231,147,52,1942
SAL14184,4,9,0,0,50
SAL14185,227,156,90,32,1686
SAL14186,0,5,0,0,13
SAL14187,5,10,3,0,19
SAL14188,25,35,6,4,132
SAL14189,91,84,39,10,525
SAL14190,21,7,0,0,75
SAL14191,678,457,353,231,4617
SAL14192,218,165,53,20,1389
SAL14193,10,4,0,0,55
SAL14194,0,0,0,0,0
SAL14195,339,188,85,30,2962
SAL14196,0,0,0,0,0
SAL14197,3,5,0,0,18
SAL14198,3,9,0,0,22
SAL14199,275,138,77,18,1749
SAL14200,34,30,11,0,255
SAL14201,777,559,297,134,11708
SAL14202,3,6,0,0,25
SAL14203,7,7,4,0,34
SAL14204,139,109,44,11,660
SAL14205,95,51,35,24,535
SAL14206,9,10,0,0,58
SAL14207,16,19,0,0,55
SAL14208,23,9,7,4,103
SAL14209,31,33,13,0,150
SAL14210,713,308,92,27,4490
SAL14211,111,54,15,4,574
SAL14212,0,0,0,0,0
SAL14213,10,5,0,0,38
SAL14214,458,380,246,124,2924
SAL14215,0,0,0,0,0
SAL14216,18,20,6,3,61
SAL14217,324,222,167,166,2786
SAL14218,5,10,0,0,52
SAL14219,278,267,154,35,2193
SAL14220,57,32,7,0,166
SAL14221,21,22,6,0,75
SAL14222,4,3,3,0,23
SAL14223,6,0,0,0,22
SAL14224,5,4,0,0,22
SAL14225,14,9,0,0,35
SAL14226,65,47,19,3,360
SAL14227,17,22,8,0,73
SAL14228,147,85,52,16,788
SAL14229,7,0,0,0,11
SAL14230,3,3,0,0,44
SAL14231,0,4,8,0,31
SAL14232,19,9,8,3,119
SAL14233,12,4,0,0,31
SAL14234,0,6,0,0,14
SAL14235,8,3,0,0,12
SAL14236,69,45,22,12,365
SAL14237,19,11,3,0,55
SAL14238,306,213,151,55,1729
SAL14239,6,0,0,0,11
SAL14240,22,10,5,0,97
SAL14241,16,14,4,0,74
SAL14242,159,148,83,24,730
SAL14243,767,817,373,132,3883
SAL14244,569,313,79,9,8883
SAL14245,915,441,167,59,9017
SAL14246,10,15,6,3,69
SAL14247,0,0,0,0,9
SAL14248,8,4,4,0,32
SAL14249,77,56,18,7,478
SAL14250,56,65,32,8,328
SAL14251,0,0,0,0,0
SAL14252,235,168,67,10,2478
SAL14253,201,209,52,15,1589
SAL14254,246,152,37,9,1437
SAL14255,97,96,41,10,538
SAL14256,400,283,173,87,2002
SAL14257,272,316,197,69,1586
SAL14258,266,188,113,35,1741
SAL14259,10,3,0,0,37
SAL14260,15,8,3,0,41
SAL14261,105,85,73,66,833
SAL14262,119,121,110,54,575
SAL14263,627,219,77,12,4188
SAL14264,316,273,151,72,2005
SAL14265,116,60,25,6,692
SAL14266,1968,1610,571,155,9780
SAL14267,584,342,212,80,3097
SAL14268,1073,651,300,107,7978
SAL14269,305,210,146,46,2225
SAL14270,172,170,84,14,1420
SAL14271,11,14,3,0,70
SAL14272,379,224,112,52,2813
SAL14273,197,152,108,45,1330
SAL14274,17,14,0,0,79
SAL14275,0,0,0,0,0
SAL14276,138,77,30,3,1126
SAL14277,483,414,225,49,2721
SAL14278,680,431,245,152,10378
SAL14279,251,181,59,20,1623
SAL14280,0,0,0,0,3
SAL14281,375,316,107,17,2392
SAL14282,3,4,0,0,6
SAL14283,261,209,83,21,1922
SAL14284,45,46,42,9,215
SAL14285,248,168,104,30,1707
SAL14286,14,7,0,0,50
SAL14287,5,7,0,0,30
SAL14288,45,39,9,0,177
SAL14289,22,22,7,0,110
SAL14290,21,13,5,0,58
SAL14291,13,17,11,0,77
SAL14292,71,46,26,9,377
SAL14293,259,195,91,22,1587
SAL14294,17,12,5,0,85
SAL14295,12,0,3,4,25
SAL14296,42,23,7,0,203
SAL14297,31,22,8,0,193
SAL14298,13,8,5,0,54
SAL14299,6,3,3,0,15
SAL14300,18,12,0,0,67
SAL14301,3,0,0,0,9
SAL14302,139,103,26,3,1102
SAL14303,5,8,0,0,50
SAL14304,9,8,0,0,44
SAL14305,255,158,43,11,1410
SAL14306,3,4,0,0,17
SAL14307,51,28,10,3,296
SAL14308,0,0,0,0,0
SAL14309,50,38,22,0,159
SAL14310,385,194,82,27,4473
SAL14311,4,6,0,0,23
SAL14312,20,13,8,0,75
SAL14313,11,0,0,0,58
SAL14314,0,7,0,0,10
SAL14315,3,6,3,0,42
SAL14316,62,75,44,7,352
SAL14317,3,6,0,0,30
SAL14318,12,7,4,0,39
SAL14319,101,75,34,3,805
SAL14320,637,366,197,130,4129
SAL14321,174,125,49,15,1008
SAL14322,33,17,6,0,137
SAL14323,9,7,0,0,37
SAL14324,93,61,27,8,437
SAL14325,0,7,0,0,19
SAL14326,0,0,0,0,0
SAL14327,0,0,0,0,0
SAL14328,58,46,10,3,313
SAL14329,248,154,46,3,1835
SAL14330,14,11,5,0,51
SAL14331,3,0,0,0,8
SAL14332,0,0,0,0,0
SAL14333,173,143,59,20,1184
SAL14334,213,230,151,54,1225
SAL14335,64,53,17,0,452
SAL14336,45,42,9,0,227
SAL14337,28,21,3,0,146
SAL14338,3,0,0,0,21
SAL14339,68,33,17,8,341
SAL14340,35,15,7,3,92
SAL14341,0,0,0,0,5
SAL14342,240,197,89,34,1638
SAL14343,152,124,71,18,955
SAL14344,165,69,30,10,616
SAL14345,0,0,0,0,0
SAL14346,5,0,0,0,13
SAL14347,0,3,0,0,14
SAL14348,55,64,27,0,354
SAL14349,31,24,0,0,145
SAL14350,492,386,199,59,2399
SAL14351,5,3,0,0,21
SAL14352,610,488,178,48,3423
SAL14353,893,705,479,140,6324
SAL14354,25,14,9,0,100
SAL14355,32,20,6,0,216
SAL14356,0,0,0,0,0
SAL14357,0,0,0,0,9
SAL14358,11,8,0,3,28
SAL14359,14,14,4,0,84
SAL14360,6,4,0,0,40
SAL14361,11,6,5,0,51
SAL14362,34,15,4,0,143
SAL14363,3,6,0,0,31
SAL14364,0,0,0,0,0
SAL14365,4,0,0,0,11
SAL14366,0,0,0,0,0
SAL14367,4,4,0,0,40
SAL14368,0,0,0,0,0
SAL14369,3,0,0,0,27
SAL14370,0,0,0,0,0
SAL14371,278,135,40,4,8033
SAL14372,5,6,0,0,26
SAL14373,54,62,16,0,197
SAL14374,3,6,5,0,52
SAL14375,290,243,120,21,1687
SAL14376,1602,1269,743,328,13059
SAL14377,655,612,318,94,5995
SAL14378,5,4,0,0,10
SAL14379,6,3,0,0,23
SAL14380,95,58,28,4,390
SAL14381,137,95,22,9,604
SAL14382,28,13,11,0,122
SAL14383,0,0,0,0,0
SAL14384,12,3,6,0,41
SAL14385,8,6,0,0,41
SAL14386,0,0,0,0,0
SAL14387,13,21,4,0,68
SAL14388,0,0,0,0,0
SAL14389,0,0,0,0,3
SAL14390,13,3,4,0,47
SAL14391,84,41,15,0,381
SAL14392,69,22,3,0,590
SAL14393,3,5,0,0,28
SAL14394,4,3,3,0,32
SAL14395,166,104,54,11,1105
SAL14396,178,165,44,5,1183
SAL14397,57,36,22,7,366
SAL14398,5,8,0,0,38
SAL14399,650,476,103,22,3763
SAL14400,43,37,13,9,192
SAL14401,271,182,50,13,1166
SAL14402,47,20,10,0,163
SAL14403,22,13,6,3,65
SAL14404,4,0,0,0,14
SAL14405,5,5,3,0,36
SAL14406,30,31,18,3,179
SAL14407,5,5,0,0,21
SAL14408,70,49,19,5,651
SAL14409,86,59,16,0,550
SAL14410,12,13,0,0,40
SAL14411,6,3,0,0,24
SAL14412,73,85,40,4,366
SAL14413,3,6,0,0,14
SAL14414,35,34,10,0,141
SAL14415,14,18,3,0,81
SAL14416,42,41,17,4,237
SAL14417,0,0,0,0,0
SAL14418,21,10,3,3,99
SAL14419,4,8,0,0,19
SAL14420,466,495,239,84,2945
SAL14421,68,81,36,4,263
SAL14422,660,620,430,212,4897
SAL14423,108,65,28,6,391
SAL14424,335,237,105,25,2747
SAL14425,0,0,0,0,11
SAL14426,21,23,16,0,129
SAL14427,6,3,0,0,19
SAL14428,477,326,148,47,2957
SAL14429,81,61,5,0,276
SAL14430,100,96,86,33,537
SAL14431,22,13,5,0,86
SAL14432,109,121,46,14,500
SAL14433,305,228,138,57,2649
SAL14434,1044,794,458,228,6669
SAL14435,46,33,6,0,128
SAL14436,17,12,3,5,93
SAL14437,0,0,0,0,3
SAL14438,232,158,67,14,1185
SAL14439,0,0,0,0,0
SAL14440,370,193,40,5,1529
SAL14441,290,225,121,32,2428
SAL14442,31,123,149,64,387
SAL14443,847,763,468,188,5251
SAL14444,52,41,12,3,254
SAL14445,0,0,6,0,5
SAL14446,15,15,4,6,83
SAL14447,7,0,0,0,14
SAL14448,49,17,3,5,813
SAL14449,53,34,5,4,270
SAL14450,4,0,0,0,12
SAL14451,14,8,3,3,32
SAL14452,34,25,10,0,112
SAL14453,4,3,0,0,32
SAL14454,6,0,3,0,51
SAL14455,0,0,0,0,0
SAL14456,219,199,154,65,1366
SAL14457,83,94,30,6,548
SAL14458,0,0,0,0,3
SAL14459,9,3,0,0,31
SAL14460,3,3,5,0,24
SAL14461,79,39,20,4,239
SAL14462,0,5,0,0,22
SAL14463,723,629,435,249,5049
SAL14464,333,292,176,28,2101
SAL14465,67,29,20,0,251
SAL14466,178,90,38,13,924
SAL14467,64,39,13,3,267
SAL14468,3,4,0,0,12
SAL14469,0,0,0,0,8
SAL14470,0,0,0,0,0
SAL14471,986,609,266,119,7805
SAL14472,3,4,0,0,11
SAL14473,12,5,4,0,63
SAL14474,10,4,0,0,31
SAL14475,0,0,0,0,0
SAL14476,658,717,396,116,3303
SAL14477,0,0,0,0,0
SAL14478,32,37,6,0,216
SAL14479,35,37,17,0,315
SAL14480,0,0,0,0,8
SAL14481,0,0,0,0,0
SAL14482,3,4,0,0,13
SAL14483,3,0,0,0,12
SAL14484,4,8,0,0,15
SAL14485,4,0,0,0,5
SAL14486,16,13,3,0,79
SAL14487,0,0,0,0,19
SAL14488,13,13,0,0,41
SAL14489,0,0,0,0,3
SAL14490,0,4,4,0,24
SAL14491,17,13,3,0,44
SAL14492,29,33,12,0,109
SAL14493,35,27,6,4,192
SAL14494,0,0,0,0,3
SAL14495,86,58,15,4,444
SAL14496,31,13,3,0,98
SAL14497,0,0,0,0,0
SAL14498,5,0,0,0,9
SAL14499,3,0,0,0,24
SAL14500,0,0,0,0,0
SAL14501,125,98,30,11,558
SAL14502,4,4,7,0,46
SAL14503,284,241,80,10,1555
SAL14504,49,33,12,0,205
SAL14505,33,38,14,3,212
SAL14506,19,12,0,0,44
SAL14507,0,0,0,0,0
SAL14508,11,9,0,0,49
SAL14509,14,17,6,0,81
SAL14510,25,14,8,0,94
SAL14511,520,436,233,94,3346
SAL14512,67,26,15,3,287
SAL14513,17,12,5,0,98
SAL14514,56,45,20,8,314
SAL14515,29,29,8,0,105
SAL14516,7,0,6,0,28
SAL14517,3,10,6,0,50
SAL14518,0,0,0,0,0
SAL14519,11,3,0,0,25
SAL14520,132,70,25,0,582
SAL14521,29,25,4,0,130
SAL14522,103,55,27,7,657
SAL14523,0,0,0,0,0
SAL14524,72,66,58,98,675
SAL14525,19,3,9,5,110
SAL14526,46,22,7,3,159
SAL14527,0,3,0,0,3
SAL14528,94,65,21,7,574
SAL14529,3,6,0,0,25
SAL14530,12,23,0,0,71
SAL14531,32,21,4,0,131
SAL14532,15,15,9,0,82
SAL14533,36,51,16,6,351
SAL14534,103,54,21,26,581
SAL14535,32,28,4,6,150
SAL14536,744,615,305,104,4432
SAL14537,363,222,117,65,1673
SAL14538,23,17,5,0,78
SAL14539,0,0,0,0,11
SAL14540,0,0,0,0,0
SAL14541,11,12,0,0,40
SAL14542,391,218,59,8,9368
SAL19494,1165,680,173,28,7237
SAL19797,0,0,0,0,0
SAL20001,3,0,0,0,3
SAL20002,510,333,142,30,6776
SAL20003,440,237,77,39,2172
SAL20004,0,0,0,0,4
SAL20005,19,13,10,0,85
SAL20006,0,0,0,0,0
SAL20007,7,0,0,0,37
SAL20008,6,7,3,0,32
SAL20009,11,4,0,0,30
SAL20010,6,5,8,0,39
SAL20011,147,72,17,3,3952
SAL20012,0,0,0,0,0
SAL20013,183,174,51,19,685
SAL20014,22,11,4,0,78
SAL20015,491,344,163,66,4108
SAL20016,0,0,0,0,0
SAL20017,250,220,80,9,2081
SAL20018,669,512,261,55,3668
