SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL50730,43,20,26,12,14,16,8,6,0,147,124,68,68,61,52,69,47,5,4,495
SAL50731,40,24,32,22,21,19,14,9,0,181,552,251,413,258,233,187,140,48,15,2096
SAL50732,0,0,0,0,4,0,3,3,0,19,76,37,43,41,55,48,59,26,7,395
SAL50733,0,0,11,0,0,4,0,0,0,18,0,0,13,0,0,7,0,0,0,22
SAL50734,0,0,0,0,0,0,3,0,0,17,28,23,14,17,30,33,19,4,7,172
SAL50735,0,0,4,3,0,4,0,0,0,13,0,0,8,7,0,7,3,0,0,33
SAL50736,0,0,0,0,4,0,0,0,0,11,21,3,11,13,19,6,10,3,0,86
SAL50737,0,0,4,0,0,4,0,0,0,13,0,17,29,18,10,18,3,0,0,98
SAL50738,0,6,15,13,7,4,0,0,0,47,0,24,43,36,34,22,5,0,0,163
SAL50739,0,0,0,3,0,6,8,3,0,27,47,29,21,39,48,57,47,16,0,317
SAL50740,118,67,73,77,101,59,38,36,22,591,2018,1119,876,1419,1403,1082,946,723,297,9886
SAL50741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50742,120,61,56,56,46,36,45,22,13,449,702,466,485,428,426,454,375,219,92,3637
SAL50743,0,0,0,0,0,0,0,0,0,0,9,6,7,7,8,12,12,4,0,66
SAL50744,3,4,0,4,0,3,0,4,0,16,14,4,4,6,5,15,16,5,0,72
SAL50745,19,8,7,17,9,7,9,4,0,79,289,129,248,170,95,79,74,29,4,1119
SAL50746,0,0,0,0,0,0,0,0,0,0,13,0,13,4,4,3,3,0,0,49
SAL50747,13,13,7,11,13,21,16,8,5,103,107,81,73,85,108,158,126,90,45,877
SAL50748,208,134,151,137,175,147,64,75,55,1143,1860,1272,1379,1363,1372,1351,1139,608,239,10575
