SAL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SAL31155,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,7
SAL31156,0,0,0,0,0,0,0,0,0,12,4,0,18,0,0,4,18,6,0,21
SAL31157,0,0,0,0,0,0,0,0,5,10,5,0,16,0,0,0,16,0,0,18
SAL31158,0,4,0,0,0,4,3,0,5,19,32,9,57,3,6,6,71,60,0,129
SAL31159,0,0,0,0,0,0,0,4,3,60,32,4,97,5,5,10,103,30,4,138
SAL31160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31163,0,0,0,0,0,0,0,0,0,11,8,0,19,0,0,0,19,10,0,28
SAL31164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31165,0,0,0,0,0,0,0,0,3,9,4,0,13,0,3,6,14,7,0,24
SAL31166,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SAL31167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL31169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31170,0,0,0,0,0,0,0,0,0,5,14,5,26,0,0,3,21,19,0,41
SAL31171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31174,0,0,0,0,0,0,5,0,7,138,123,20,279,13,12,24,302,117,0,423
SAL31175,0,0,0,0,0,0,0,0,0,16,19,0,32,0,0,0,34,10,0,44
SAL31176,0,0,0,0,0,0,0,0,0,4,11,9,22,0,3,7,28,56,0,87
SAL31177,0,0,0,0,0,0,0,0,0,4,9,0,15,0,0,0,15,10,0,28
SAL31178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31179,0,0,0,0,0,0,7,0,4,66,74,11,144,5,3,13,157,110,3,275
SAL31180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31182,0,5,0,0,0,5,0,0,3,11,3,0,17,0,0,0,17,11,0,25
SAL31183,0,0,0,0,0,0,0,0,0,13,15,0,28,0,0,5,27,13,0,48
SAL31184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
