ASGS_Structure,Census_Code_2016,AGSS_Code_2016,Census_Name_2016,Area sqkm
SA3,30306,30306,Sunnybank,22.16
SA3,30401,30401,Centenary,16.9755
SA3,30402,30402,Kenmore - Brookfield - Moggill,134.6112
SA3,30403,30403,Sherwood - Indooroopilly,21.2964
SA3,30404,30404,The Gap - Enoggera,96.768
SA3,30501,30501,Brisbane Inner,13.5589
SA3,30502,30502,Brisbane Inner - East,15.5989
SA3,30503,30503,Brisbane Inner - North,30.9461
SA3,30504,30504,Brisbane Inner - West,21.6355
SA3,30601,30601,Cairns - North,160.3157
SA3,30602,30602,Cairns - South,633.4659
SA3,30603,30603,Innisfail - Cassowary Coast,5995.1825
SA3,30604,30604,Port Douglas - Daintree,2421.0913
SA3,30605,30605,Tablelands (East) - Kuranda,12127.9129
SA3,30701,30701,Darling Downs (West) - Maranoa,141252.7846
SA3,30702,30702,Darling Downs - East,16653.3007
SA3,30703,30703,Granite Belt,8433.9715
SA3,30801,30801,Central Highlands (Qld),60225.3937
SA3,30803,30803,Rockhampton,18328.135
SA3,30804,30804,Biloela,28550.1865
SA3,30805,30805,Gladstone,10484.2862
SA3,30901,30901,Broadbeach - Burleigh,33.6726
SA3,30902,30902,Coolangatta,34.9725
SA3,30903,30903,Gold Coast - North,40.6693
SA3,30904,30904,Gold Coast Hinterland,827.9592
SA3,30905,30905,Mudgeeraba - Tallebudgera,189.204
SA3,30906,30906,Nerang,123.1533
SA3,30907,30907,Ormeau - Oxenford,519.8616
SA3,30908,30908,Robina,33.6325
SA3,30909,30909,Southport,34.9594
SA3,30910,30910,Surfers Paradise,19.801
SA3,31001,31001,Forest Lake - Oxley,63.7142
SA3,31002,31002,Ipswich Hinterland,6135.7833
SA3,31003,31003,Ipswich Inner,378.0564
SA3,31004,31004,Springfield - Redbank,103.593
SA3,31101,31101,Beaudesert,1628.0131
SA3,31102,31102,Beenleigh,60.1506
SA3,31103,31103,Browns Plains,169.579
SA3,31104,31104,Jimboomba,582.4324
SA3,31105,31105,Loganlea - Carbrook,88.7275
SA3,31106,31106,Springwood - Kingston,57.2427
SA3,31201,31201,Bowen Basin - North,79852.782
SA3,31202,31202,Mackay,7613.2964
