SAL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SAL51215,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,20,12,26
SAL51216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51217,27,32,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,0,0,0,0,0,0,6,4,13,3,4,4,34,36,71
SAL51218,32,17,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,7,11,0,0,0,0,0,0,9,4,12,42,15,58,83,36,121
SAL51219,1651,1867,3514,28,46,69,4,6,11,0,10,10,0,4,5,3,0,7,202,201,407,0,0,0,0,0,0,0,0,0,0,0,0,213,221,435,12,4,14,3,6,8,252,275,530,74,56,128,1975,2198,4172
SAL51220,8,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13
SAL51221,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,12,10,18
SAL51222,649,548,1197,122,121,240,0,6,12,4,7,8,10,5,21,0,0,5,65,79,145,3,0,5,4,9,8,0,0,3,0,0,0,91,107,195,4,11,20,8,4,13,229,238,467,196,169,368,1075,959,2035
SAL51223,359,373,739,12,18,24,0,0,4,0,3,0,0,0,0,0,0,0,54,65,113,0,0,0,0,0,0,0,0,0,0,0,0,55,63,124,0,0,0,3,0,3,73,81,159,22,12,33,457,467,920
SAL51224,348,337,681,27,23,50,0,0,3,0,0,0,0,3,5,0,0,0,12,19,35,0,0,0,0,0,0,0,0,0,0,0,0,14,26,42,0,3,4,0,0,0,43,55,97,31,37,72,425,427,851
SAL51225,569,768,1333,9,7,14,3,3,9,0,8,9,0,4,4,0,0,0,53,71,123,0,0,0,0,0,0,0,0,0,0,0,0,62,80,146,14,17,27,0,5,5,81,104,185,28,41,68,675,908,1592
SAL51226,183,209,392,12,14,25,0,0,0,0,0,0,0,0,0,0,0,0,28,24,57,0,0,0,0,0,0,0,0,0,0,0,0,29,27,59,0,0,0,0,0,0,47,44,82,16,23,36,242,273,514
SAL51227,81,82,161,3,10,18,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,0,0,0,0,0,3,0,0,0,0,0,0,3,6,10,0,0,0,0,0,0,10,12,26,42,26,66,138,124,261
SAL51228,21,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,21,22,46
SAL51229,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,4,0,4,14,6,14
SAL51230,4274,3661,7934,312,307,618,109,72,182,117,90,206,98,80,175,25,14,45,1141,1123,2266,6,7,10,20,18,35,7,9,14,0,0,0,1521,1411,2928,192,202,399,37,19,54,2061,1935,3998,986,636,1624,7322,6236,13558
SAL51231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,25,17,13,25
SAL51232,63,60,123,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,0,0,0,0,0,0,5,10,18,6,13,15,79,83,158
SAL51233,13,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,16
