SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL10112,12,18,18,30,38,29,9,0,0,155,13,14,30,61,49,47,12,0,0,233,321,407,498,909,1233,1127,407,49,3,4965
SAL10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,10
SAL10114,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,7,10,6,10,13,18,34,17,3,0,110
SAL10115,5,5,13,14,9,19,0,0,0,66,10,9,13,15,27,8,3,0,0,75,204,177,251,483,633,437,120,17,0,2309
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,0,5,9,10,8,5,0,0,0,35,0,0,5,8,8,8,0,0,0,34,35,69,201,144,141,153,26,4,0,774
SAL10118,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,17,0,9,8,33,21,3,0,0,95
SAL10119,0,0,0,3,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,17,27,35,27,55,42,7,0,0,215
SAL10120,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,16,21,14,28,28,9,0,0,115
SAL10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,15,13,7,18,9,0,0,70
SAL10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,6
SAL10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,3,0,0,0,22
SAL10125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,9
SAL10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7
SAL10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14
SAL10130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,5,13,7,4,16,0,4,0,47
SAL10131,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,9,7,14,16,20,13,9,0,0,79
SAL10132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,8
SAL10133,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,12,16,15,4,7,0,0,53
SAL10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,8,6,12,6,0,0,31
SAL10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,18
SAL10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,10,0,0,0,23
SAL10138,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,3,5,3,7,0,0,17
SAL10139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,5,7,0,0,32
SAL10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,12
SAL10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6
SAL10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,12
SAL10143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,3,12,3,0,0,29
SAL10144,5,5,5,8,0,0,0,0,0,18,0,0,4,3,4,0,0,0,0,8,17,22,57,71,72,47,11,0,0,292
SAL10145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,3,3,18,18,3,0,4,56
SAL10146,0,3,0,3,9,0,0,0,0,23,0,3,8,3,8,9,0,0,0,24,30,38,81,84,97,64,18,9,0,424
SAL10147,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,6,6,7,5,11,0,6,0,0,0,28
SAL10148,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,10,28,33,45,31,6,3,0,168
SAL10149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,12
SAL10150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL10151,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,9,5,0,0,31
SAL10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,3,8,7,0,0,40
SAL10153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,0,18
SAL10154,3,4,29,15,26,21,4,0,0,105,9,11,45,46,42,21,7,4,0,183,207,288,733,1041,1079,666,200,36,3,4250
SAL10155,0,3,7,10,21,8,0,0,0,43,6,4,10,21,17,12,4,0,0,73,104,126,109,301,570,344,91,18,3,1678
SAL10156,6,8,19,23,14,14,3,3,0,87,9,8,24,16,17,14,4,0,0,91,153,246,502,604,552,446,113,11,0,2635
SAL10157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,12
SAL10158,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,6,0,0,0,4,4,0,6,7,17,18,0,4,5,64
SAL10159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL10160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,13,14,11,13,0,0,60
SAL10161,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,8,9,10,10,17,9,0,0,52
SAL10162,0,3,0,0,0,0,5,0,0,5,0,0,4,0,0,0,0,0,0,3,3,3,28,16,25,28,12,5,0,120
SAL10163,10,11,30,32,36,27,8,0,0,160,11,11,33,23,24,20,7,5,0,129,195,298,642,704,711,700,245,27,5,3527
SAL10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10165,4,11,28,26,35,32,11,4,0,150,0,6,43,59,58,26,10,4,0,214,119,296,1098,1489,1398,910,350,63,0,5711
SAL10166,0,3,5,4,6,0,3,0,0,15,0,6,8,10,11,5,0,0,0,31,21,53,175,210,262,175,73,14,0,983
SAL10167,0,0,0,0,8,4,0,0,0,20,0,0,0,5,0,3,0,0,0,15,25,20,58,60,98,72,25,0,0,367
SAL10168,0,0,0,0,4,3,0,0,0,8,0,0,0,0,4,0,0,0,0,4,19,28,38,40,62,62,16,0,0,260
SAL10169,0,0,0,6,4,4,0,0,0,16,0,3,5,5,0,0,4,0,0,17,27,42,89,72,110,128,52,5,0,520
SAL10170,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,3,8,0,0,0,21
SAL10171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,13,17,3,6,0,68
SAL10173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
SAL10174,5,3,5,0,5,4,3,0,0,14,4,0,7,4,6,7,0,0,0,23,38,29,51,85,84,84,21,6,0,395
SAL10175,0,4,4,12,14,4,3,0,0,48,0,4,13,29,18,8,4,0,0,77,75,74,213,332,329,201,66,14,0,1319
SAL10176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,3,8,6,0,0,25
SAL10177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,4,21,21,12,4,4,0,68
SAL10178,6,0,18,21,26,16,3,0,0,97,5,9,12,25,23,12,12,0,0,94,188,256,357,649,609,493,200,13,0,2772
