SAL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SAL22688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,18
SAL22689,20,25,14,3,6,90,6,8,31,26,34,0,113,0,0,8,3,0,0,14,4,0,0,3,16,0,24,5,0,4,11,10,8,34,64,35,132,112,193,17,564
SAL22690,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,4,3,14,0,21
SAL22691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,3,6,5,18
SAL22692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
SAL22693,0,0,0,0,0,4,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,5,11,4,23,4,53
SAL22694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL22695,0,7,0,0,4,15,0,0,11,4,11,0,22,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,5,13,0,15,4,4,29,28,109,4,183
SAL22696,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,15
SAL22697,13,24,9,13,0,64,7,9,35,34,71,10,169,0,0,0,0,5,0,6,0,0,9,0,21,0,32,0,0,0,0,11,5,19,20,25,106,95,320,34,594
SAL22698,121,386,112,164,16,966,154,117,442,259,303,42,1316,0,0,23,18,36,0,82,11,11,29,52,189,6,290,3,3,29,24,81,33,177,505,356,1667,1117,2645,217,6509
SAL22699,0,3,0,4,0,12,3,5,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,9,5,24,20,30,0,89
SAL22700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,17
SAL22701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,0,25
SAL22702,36,117,36,20,3,273,82,36,162,68,43,12,403,4,3,9,8,4,0,30,0,5,16,17,31,5,82,8,0,34,17,11,0,69,305,146,818,363,491,48,2167
SAL22703,5,11,7,9,0,33,13,8,17,7,5,3,44,0,0,0,0,0,0,4,0,0,0,0,3,0,4,3,0,0,0,4,0,9,46,10,101,52,66,6,275
SAL22704,38,135,27,25,8,301,45,35,112,57,39,7,295,0,4,18,5,7,0,32,0,8,11,22,35,0,72,5,5,23,11,24,12,76,229,139,665,330,535,54,1966
SAL22705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,3,20
SAL22706,0,0,3,0,0,4,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,9,21,0,48
SAL22707,4,10,0,8,0,26,0,5,14,10,16,3,39,0,0,0,0,3,0,3,0,0,0,3,11,0,11,0,0,0,0,5,3,9,10,12,39,32,124,15,227
SAL22708,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
