SA2_MAINCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
316051438,0,4,0,0,0,4,3,0,4,119,163,4,293,13,20,34,330,209,3,543
316051543,0,0,0,0,0,0,0,0,3,48,44,0,92,10,5,10,109,49,0,161
316051544,0,3,0,0,0,3,8,0,6,92,93,11,195,4,7,15,210,59,4,269
316061439,0,3,0,0,0,3,3,0,10,106,116,20,234,11,12,25,259,160,0,424
316061440,0,0,0,0,0,0,3,0,3,57,120,4,181,9,10,18,205,147,0,352
316061441,0,0,0,0,0,0,0,0,3,60,65,3,129,9,3,13,141,80,0,216
316061442,3,6,0,0,0,6,9,3,15,112,119,13,244,11,14,24,268,151,3,422
316061443,0,4,0,0,0,4,0,0,4,33,66,8,107,4,9,13,120,92,3,209
316061444,0,5,0,0,0,5,3,3,11,113,122,9,243,12,4,18,258,128,4,388
316071545,0,0,0,0,0,0,0,0,6,63,92,8,160,4,9,15,179,105,3,284
316071546,0,0,0,0,0,0,0,0,0,24,30,3,59,0,3,9,65,41,0,108
