SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
103031070,0,0,0,30,0,0,0,0,0,3,0,3,3,21,45,77,0,0,4,0,0,0,0,0,0,21,8,36,175,35,6,122,12,124,8,88,14,601,67,1258
103031071,0,3,0,43,0,0,0,3,0,0,0,0,0,14,47,67,0,3,0,0,0,0,0,0,0,18,4,26,145,43,4,127,10,95,12,67,10,357,62,939
103031072,0,8,0,78,3,0,0,4,0,4,0,0,0,6,49,68,0,0,0,0,0,0,0,0,0,12,7,20,244,56,10,200,18,97,5,68,8,360,65,1128
103031073,0,3,0,11,0,0,0,0,3,0,0,0,0,4,16,23,0,0,0,0,0,0,0,0,0,6,5,13,59,23,3,40,7,37,3,20,3,189,21,411
103031074,0,4,0,41,0,0,0,3,0,5,0,7,0,14,54,89,5,0,3,3,0,3,0,4,0,20,14,52,186,80,19,183,14,130,8,86,11,424,78,1214
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,0,3,0,29,0,0,0,3,0,3,0,3,0,4,44,57,0,0,0,0,0,0,0,0,0,8,7,16,168,46,12,132,12,78,8,57,10,232,57,802
103041077,0,5,0,79,6,0,0,4,0,0,0,4,0,14,75,112,0,0,0,0,0,0,0,0,3,19,11,44,339,56,17,237,17,189,8,141,29,704,105,1847
103041078,0,3,0,112,3,7,0,3,0,8,0,0,0,11,87,115,5,0,0,3,0,0,0,0,0,15,5,36,468,80,11,280,30,171,12,116,22,564,99,1848
103041079,0,11,0,79,6,3,0,3,0,3,0,8,3,7,63,95,7,0,0,3,0,0,0,0,0,10,14,31,281,67,22,216,22,128,13,88,17,358,80,1296
104011080,0,8,0,34,4,0,0,3,3,0,0,3,0,28,67,106,0,0,0,0,0,0,0,0,0,27,13,48,239,70,15,245,18,166,10,155,13,887,100,1919
104011081,0,3,0,27,4,4,0,0,0,4,0,0,4,22,97,138,0,0,0,0,0,3,0,0,0,23,15,36,228,120,19,233,25,169,21,150,30,917,128,2036
104011082,0,11,0,43,3,0,0,4,0,0,0,3,0,37,112,167,3,3,0,0,0,0,0,0,0,31,13,60,189,119,17,215,21,124,12,194,34,1489,149,2562
104021083,0,0,0,20,3,0,0,0,0,0,0,0,0,4,33,41,0,0,0,0,0,3,0,0,0,4,0,13,80,61,3,71,3,50,9,75,7,230,38,628
104021084,0,4,0,55,3,0,0,3,0,3,0,0,0,19,78,107,0,0,0,0,0,4,0,0,0,18,11,33,293,94,11,213,20,145,14,121,19,808,105,1848
104021085,0,3,0,31,0,0,0,0,0,0,0,0,0,7,47,63,0,0,0,0,0,0,0,0,0,8,9,20,160,50,8,129,13,79,9,75,3,471,59,1049
104021086,0,4,0,14,0,0,0,0,0,3,0,0,0,0,23,24,0,0,0,0,0,0,0,0,0,4,3,10,64,22,3,66,3,40,6,49,8,144,24,429
104021087,0,0,0,4,0,0,0,3,0,0,0,0,0,8,26,40,3,0,0,0,0,0,0,0,0,3,4,13,42,36,8,64,3,36,9,36,3,133,32,404
104021088,0,10,0,60,4,0,0,8,0,0,0,0,0,4,63,83,3,0,0,0,0,0,0,0,0,8,3,19,172,62,4,169,6,79,11,91,13,428,71,1108
