SA2_MAINCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
103041079,27,219,73,70,4,444,60,32,211,134,146,25,611,0,0,3,8,10,0,20,3,0,10,27,123,3,159,3,3,13,17,67,29,132,225,108,925,642,1709,186,3792
104011080,34,205,66,93,22,453,37,30,229,166,404,32,908,3,0,5,7,30,3,51,7,3,18,27,171,3,221,3,4,0,10,65,21,103,129,99,756,609,2231,216,4045
104011081,37,155,67,70,9,363,28,28,143,135,318,29,686,3,0,8,6,22,3,41,3,0,7,20,124,10,161,0,0,8,8,73,30,118,122,100,591,524,1937,241,3518
104011082,34,164,67,75,9,385,46,22,196,137,208,34,642,0,0,4,13,20,6,41,4,3,17,17,118,4,159,0,3,11,18,70,22,120,146,110,704,543,1798,228,3532
104021083,31,114,48,23,3,255,34,21,147,78,92,15,379,0,0,19,5,3,0,32,3,0,9,6,37,0,54,0,3,10,6,30,10,58,124,82,518,297,560,81,1661
104021084,42,218,70,89,16,479,73,31,329,206,312,34,989,6,0,12,16,26,0,56,0,0,26,25,159,12,226,3,0,16,31,78,28,152,182,129,1006,855,2064,178,4422
104021085,20,132,45,47,3,279,56,13,240,110,183,20,620,3,0,4,4,20,0,34,0,3,6,23,86,6,125,3,0,9,9,41,16,76,141,74,673,445,1157,126,2613
104021086,14,54,30,27,3,144,16,11,62,60,74,10,227,3,0,3,0,8,0,23,0,0,0,6,35,3,41,0,0,4,6,27,5,39,59,42,231,204,564,68,1167
104021087,7,26,11,9,0,74,0,8,35,29,44,0,118,0,3,3,0,8,0,15,0,0,0,0,21,0,30,0,5,6,0,13,3,28,22,35,163,104,344,42,701
104021088,14,202,57,44,10,371,57,44,250,112,139,15,621,3,0,3,6,12,0,35,0,3,18,22,84,3,129,6,0,16,13,41,6,85,174,104,838,506,1182,95,2910
104021089,67,312,105,117,18,682,80,61,384,231,386,47,1191,3,4,11,16,38,3,72,9,3,19,24,163,12,231,3,0,20,16,118,23,176,235,189,1247,855,2577,211,5323
104021090,21,88,30,25,9,190,16,12,74,55,91,12,250,0,0,4,0,8,0,12,0,0,0,0,47,3,55,0,0,4,3,15,12,31,45,40,272,202,576,67,1205
104021091,36,204,54,60,4,391,23,21,166,126,183,15,535,0,0,8,4,16,3,31,0,0,11,15,94,3,129,3,0,13,15,56,22,111,106,94,766,542,1384,174,3070
105011092,4,80,13,36,9,164,9,3,42,35,44,16,140,0,0,3,3,3,0,8,0,0,3,6,20,0,30,0,0,0,3,13,6,20,31,15,202,168,340,65,824
105011093,10,49,12,17,0,95,11,6,34,27,31,3,110,0,0,0,0,0,3,7,0,0,3,0,45,0,43,0,0,0,3,22,5,30,47,32,215,138,689,70,1180
105011094,12,50,14,34,6,126,5,3,31,35,45,8,133,0,0,0,0,0,0,3,0,0,0,0,24,6,29,0,0,7,3,17,13,36,28,21,188,142,432,76,887
105011095,15,71,26,23,3,141,3,3,38,38,42,8,126,0,0,0,0,3,0,6,0,0,7,9,34,3,52,0,0,3,0,19,8,35,30,25,253,185,578,83,1160
105011096,14,96,32,35,12,213,7,9,64,34,50,8,182,0,0,0,3,11,0,17,0,0,3,0,28,7,38,0,0,4,3,16,15,36,46,29,291,235,483,99,1185
105021097,40,221,66,106,10,491,71,61,261,201,355,40,995,0,0,4,5,25,0,38,0,3,7,18,159,7,193,3,6,6,11,59,25,106,162,151,718,594,2268,239,4133
105021098,3,22,5,12,5,62,0,0,12,11,13,4,40,0,0,0,0,4,0,5,0,0,3,0,5,3,12,0,0,4,4,8,8,22,12,9,73,87,230,43,459
105031099,28,119,38,46,9,259,10,3,83,62,105,19,278,0,0,6,0,4,0,11,0,0,3,4,47,0,63,0,3,3,3,38,22,68,64,51,378,275,877,152,1803
105031100,36,181,39,77,9,380,36,41,202,132,186,19,621,0,0,0,3,25,0,32,3,3,9,12,126,10,161,6,0,4,8,56,20,88,152,124,672,435,1529,145,3057
