SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL32095,4,0,0,0,0,0,4,0,0,16
SAL32096,24,6,14,3,8,8,20,17,4,103
SAL32097,58,127,46,65,53,35,18,28,3,434
SAL32098,8,8,12,8,12,4,3,9,0,75
SAL32099,426,799,861,843,598,501,375,792,97,5290
SAL32100,82,155,143,137,99,112,84,199,23,1027
SAL32101,30,0,3,4,3,6,3,11,0,59
SAL32102,12,4,0,0,0,0,0,0,0,17
SAL32103,3,0,0,0,0,0,0,0,0,3
SAL32104,17,0,0,4,4,0,5,0,0,29
SAL32105,19,6,20,3,9,9,7,10,0,83
SAL32106,42,73,137,36,45,28,109,35,9,508
SAL32107,1282,1759,1720,1354,1628,1095,734,1021,181,10762
SAL32108,4,0,3,4,0,0,0,0,0,11
SAL32109,40,127,54,74,80,60,23,68,5,536
SAL32110,14,8,9,4,6,6,4,4,0,44
SAL32111,3,0,0,0,6,0,0,0,0,12
SAL32112,14,0,0,0,0,0,0,0,0,11
SAL32113,31,21,61,18,33,13,98,55,10,343
SAL32114,5,3,9,6,3,0,6,5,0,35
SAL32115,88,106,74,67,44,55,17,50,6,497
SAL32116,19,4,5,0,6,4,4,14,0,52
SAL32117,800,1150,1384,1046,1079,853,555,952,157,7975
SAL32118,11,4,3,3,5,0,0,0,0,30
SAL32119,14,10,23,14,10,7,18,17,5,116
SAL32120,0,0,3,0,3,0,0,0,0,10
SAL32121,8,0,3,0,3,8,0,8,0,42
SAL32122,0,0,0,3,0,0,0,0,0,8
SAL32123,12,6,12,5,10,0,7,17,0,72
SAL32124,4,0,8,0,0,0,0,0,0,19
SAL32125,9,4,0,0,0,0,0,4,0,12
SAL32126,192,358,580,282,279,222,295,308,51,2556
SAL32127,388,502,568,307,503,245,243,256,53,3069
SAL32128,0,0,0,0,0,0,0,0,0,0
SAL32129,1293,2990,498,638,821,430,122,290,113,7199
SAL32130,12,17,22,14,18,4,12,11,0,93
SAL32131,9,11,12,27,15,6,0,15,9,103
SAL32132,11,0,3,4,0,0,0,0,0,18
SAL32133,18,29,35,14,9,20,9,18,8,160
SAL32134,6,0,3,0,0,0,8,12,5,51
SAL32135,406,1135,262,320,355,210,79,187,43,3002
SAL32136,604,717,357,299,461,254,123,177,50,3037
SAL32137,1049,2178,324,406,691,381,82,119,90,5322
SAL32138,88,152,104,98,106,58,40,78,10,736
SAL32139,358,763,673,707,514,405,305,663,87,4473
SAL32140,0,0,0,0,0,0,0,0,0,0
SAL32141,3,0,0,0,0,0,0,7,0,17
SAL32142,61,125,68,83,49,48,23,45,0,501
SAL32143,18,32,31,7,22,9,8,5,0,136
SAL32144,70,150,115,52,70,35,40,67,7,611
SAL32145,20,6,4,0,7,10,3,4,0,51
SAL32146,15,6,4,6,8,0,0,5,0,42
SAL32147,0,0,3,0,0,0,0,3,0,11
SAL32148,214,269,416,326,267,236,201,255,46,2229
SAL32149,122,237,195,188,145,107,73,113,18,1197
SAL32150,13,0,0,0,4,0,0,4,3,24
SAL32151,3,4,0,7,4,3,0,9,0,33
SAL32152,0,0,0,0,0,0,0,0,0,0
SAL32153,6,4,4,0,4,3,0,5,0,33
SAL32154,0,0,0,0,0,0,0,0,0,0
SAL32155,43,31,41,27,27,17,24,33,0,236
SAL32156,6,0,0,0,0,0,0,4,0,14
SAL32157,58,69,87,45,63,31,52,49,10,462
SAL32158,8,0,0,0,0,0,0,4,5,8
SAL32159,21,3,3,3,0,0,0,4,0,40
SAL32160,435,550,237,255,219,244,46,154,53,2184
SAL32161,9,11,16,7,15,10,6,8,3,88
SAL32162,627,731,442,429,382,400,108,303,63,3495
SAL32163,447,1027,704,788,689,444,365,553,75,5091
SAL32164,818,1530,332,381,553,288,90,166,47,4207
SAL32165,64,91,63,80,62,25,54,57,21,510
SAL32166,6,3,0,0,0,0,0,7,0,23
SAL32167,45,62,69,47,45,27,19,44,3,360
SAL32168,127,129,160,149,140,94,148,198,20,1176
SAL32169,3,5,0,3,0,0,4,0,0,15
SAL32170,21,3,0,0,4,0,0,0,0,33
SAL32171,10,0,0,0,0,0,3,4,0,18
SAL32172,23,18,19,19,19,13,17,27,3,152
SAL32173,18,9,13,10,9,10,15,8,3,85
SAL32174,16,8,4,3,3,5,3,10,0,45
SAL32175,190,334,308,290,255,162,167,241,40,1983
SAL32176,47,14,27,20,20,20,23,33,5,208
SAL32177,9,9,11,0,0,3,0,4,0,30
SAL32178,1477,2514,1389,1607,1693,1150,672,942,216,11656
SAL32179,174,449,586,320,310,257,327,382,64,2869
SAL32180,5,0,0,0,0,0,0,0,0,10
SAL32181,83,74,156,74,104,55,74,81,23,723
SAL32182,53,85,19,35,36,23,15,18,3,289
SAL32183,9,11,8,8,5,7,5,8,0,60
SAL32184,20,6,0,0,0,0,5,17,5,50
SAL32185,9,3,9,0,3,3,3,9,0,39
SAL32186,130,369,210,216,190,134,82,143,21,1496
SAL32187,374,915,282,425,268,147,111,212,38,2773
SAL32188,345,824,323,322,392,219,128,201,53,2810
SAL32189,0,0,0,0,0,0,0,0,0,3
SAL32190,60,128,139,172,109,98,77,166,6,959
SAL32191,22,5,15,8,9,4,7,20,0,102
SAL32192,25,0,3,0,0,0,0,5,0,39
SAL32193,366,716,279,225,356,152,125,143,26,2393
SAL32194,34,36,20,11,24,9,14,8,0,158
SAL32195,3,0,3,0,0,0,0,0,0,16
SAL32196,11,9,12,5,7,3,5,10,0,62
SAL32197,1015,2420,818,913,1264,588,340,565,146,8063
SAL32198,11,5,0,5,3,0,8,10,0,43
SAL32199,0,0,0,0,0,0,0,0,0,7
SAL32200,0,0,0,0,0,0,0,0,0,0
SAL32201,0,0,0,0,0,5,4,0,0,16
SAL32202,0,5,0,0,0,0,0,0,3,8
SAL32203,13,37,48,3,22,16,14,18,3,175
SAL32204,10,8,15,9,3,0,0,14,0,63
SAL32205,22,15,19,7,11,11,5,6,7,100
SAL32206,11,37,52,36,28,13,26,18,3,227
SAL32207,3,0,0,4,0,0,7,3,0,21
SAL32208,35,25,46,11,29,14,33,19,3,228
SAL32209,174,149,328,267,176,135,220,484,37,1964
SAL32210,0,0,0,0,0,0,0,0,0,4
SAL32211,73,126,141,104,125,72,70,73,12,792
SAL32212,0,0,0,3,0,0,0,0,0,8
SAL32213,7,15,21,14,12,17,13,25,3,131
SAL32214,11,5,5,5,8,4,5,11,0,52
SAL32215,9,0,0,0,0,0,0,0,0,15
SAL32216,12,14,14,17,12,4,7,5,5,91
SAL32217,13,9,4,4,7,5,9,3,0,65
SAL32218,94,124,78,49,69,23,14,53,10,524
SAL32219,15,6,0,3,0,0,4,3,0,36
SAL32220,4,5,0,0,3,0,0,7,0,17
SAL32221,5,0,0,0,3,0,4,5,0,16
SAL32222,4,4,0,3,0,0,0,3,0,13
SAL32223,5,3,0,0,8,3,0,5,0,18
SAL32224,37,89,120,118,89,63,86,121,21,746
SAL32225,16,0,0,0,0,0,0,15,0,34
SAL32226,101,230,160,264,130,102,90,101,15,1195
SAL32227,167,379,426,163,256,170,235,156,25,1970
SAL32228,15,3,0,0,0,0,6,0,3,26
SAL32229,9,0,3,0,0,3,0,7,0,18
SAL32230,42,14,9,0,9,9,12,8,0,107
SAL32231,22,20,11,0,23,10,12,13,0,113
SAL32232,0,0,0,0,0,0,0,0,0,4
SAL32233,36,4,3,0,8,0,3,6,0,58
SAL32234,951,1241,1285,915,1134,790,642,837,162,7951
SAL32235,324,452,364,256,365,230,170,190,37,2395
SAL32236,537,768,306,337,473,280,114,236,45,3088
SAL32237,38,13,19,11,17,8,15,20,0,127
SAL32238,0,3,0,8,0,3,0,0,4,23
SAL32239,22,13,17,11,17,8,20,14,8,116
SAL32240,8,10,20,9,12,4,12,10,0,84
SAL32241,702,1053,1072,807,841,664,445,628,124,6351
SAL32242,8,0,0,0,0,0,0,10,0,18
SAL32243,548,1628,572,471,632,307,218,321,66,4771
SAL32244,4,4,0,0,0,0,4,0,0,20
SAL32245,16,23,38,28,27,15,17,22,5,207
SAL32246,64,99,80,57,57,30,47,34,11,490
SAL32247,93,156,221,173,172,107,71,140,16,1150
SAL32248,883,1606,1336,1190,1118,934,578,872,171,8690
SAL32249,12,17,6,3,10,6,3,7,0,57
SAL32250,1015,2418,365,512,560,391,72,183,58,5574
SAL32251,59,11,30,11,23,12,15,25,6,200
SAL32252,17,12,24,19,16,7,42,31,0,161
SAL32253,15,10,6,7,4,0,13,18,3,67
SAL32254,6,0,0,0,0,0,0,0,0,13
SAL32255,223,568,239,250,299,139,200,182,28,2124
SAL32256,56,155,48,65,42,18,11,20,4,414
SAL32257,1232,2177,1261,1122,967,794,296,616,175,8642
SAL32258,217,242,151,162,121,107,46,108,13,1163
SAL32259,11,6,3,3,6,4,5,13,0,46
SAL32260,25,68,28,138,37,13,14,29,18,362
SAL32261,5,0,3,0,0,0,0,4,0,16
SAL32262,3,0,0,0,3,0,0,0,0,8
SAL32263,12,5,4,7,0,3,3,6,0,39
SAL32264,335,666,486,371,418,315,126,246,55,3012
SAL32265,393,595,486,355,406,282,179,295,59,3054
SAL32266,20,10,26,9,23,14,21,13,3,139
SAL32267,15,3,3,4,6,0,0,6,0,43
SAL32268,17,8,3,5,0,5,0,12,0,44
SAL32269,629,636,398,271,479,347,99,206,80,3153
SAL32270,163,272,404,351,265,216,232,304,63,2268
SAL32271,296,425,525,510,481,291,625,465,87,3708
SAL32272,99,86,132,77,136,64,103,83,30,806
SAL32273,157,287,304,196,239,146,120,131,30,1604
SAL32274,704,1292,668,588,938,584,404,465,99,5753
SAL32275,7,9,16,15,8,10,14,20,0,102
SAL32276,23,0,0,0,0,0,0,4,0,32
SAL32277,59,177,174,59,89,63,103,83,14,834
SAL32278,431,993,659,567,555,503,239,456,92,4495
SAL32279,133,319,267,421,147,137,122,224,36,1809
SAL32280,304,495,249,229,276,226,83,161,25,2059
SAL32281,29,0,4,0,0,0,0,10,0,49
SAL32282,0,0,7,0,0,0,0,0,0,12
SAL32283,10,0,13,6,0,0,3,15,0,48
SAL32284,13,9,11,10,3,8,6,19,4,78
SAL32285,0,3,5,0,0,7,0,0,0,17
SAL32286,99,119,138,81,74,47,41,86,16,692
SAL32287,13,0,4,0,7,5,3,8,0,43
SAL32288,68,68,98,57,63,37,37,51,6,492
SAL32289,5,14,11,6,3,0,7,6,0,47
SAL32290,0,0,0,0,0,0,0,0,0,0
SAL32291,57,71,60,35,43,25,22,28,4,346
SAL32292,6,3,0,0,0,0,0,0,0,8
SAL32293,9,0,0,0,3,3,0,0,0,17
SAL32294,448,594,358,315,459,344,120,198,47,2895
SAL32295,34,5,6,5,5,0,6,20,4,85
SAL32296,0,0,0,0,0,0,0,0,0,0
SAL32297,3,7,7,4,8,4,5,5,3,36
SAL32298,424,690,332,271,227,250,60,193,42,2497
SAL32299,600,972,602,618,522,497,161,319,69,4360
SAL32300,3,11,4,3,3,4,4,4,0,39
SAL32301,16,18,15,18,16,12,9,11,0,116
SAL32302,3,0,0,0,0,0,0,0,0,5
SAL32303,448,835,664,530,673,437,279,433,72,4367
SAL32304,129,293,62,101,82,54,18,52,10,796
SAL32305,11,0,3,0,3,0,3,3,0,24
SAL32306,0,0,0,0,3,0,0,4,0,17
SAL32307,115,244,168,231,136,154,69,176,23,1319
SAL32308,6,0,5,0,0,0,3,0,0,11
SAL32309,23,30,9,17,6,14,8,18,3,138
SAL32310,59,70,107,73,65,33,44,43,7,516
SAL32311,0,6,6,5,9,0,0,5,0,27
SAL32312,5,0,3,4,0,0,0,3,0,12
SAL32313,6,4,0,0,0,0,0,4,0,16
SAL32314,0,0,0,0,0,0,0,0,0,0
SAL32315,8,3,7,0,0,4,0,0,0,19
SAL32316,10,3,0,0,6,3,5,0,0,40
SAL32317,105,262,167,173,135,102,68,134,18,1153
SAL32318,1187,1830,1811,1630,1369,1123,1088,1240,214,11502
SAL32319,12,0,9,0,5,0,0,7,0,38
SAL32320,32,14,12,4,14,3,6,13,0,101
SAL32321,29,36,42,26,23,12,12,24,4,216
SAL32322,15,0,4,4,0,0,15,3,0,52
SAL32323,10,14,22,12,12,3,17,22,0,122
SAL32324,3,3,0,0,0,0,0,0,0,8
