SA2_MAINCODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
210031237,7,19,51,49,36,24,4,0,0,192,6,33,95,78,57,40,10,6,5,326,169,513,1399,1212,925,535,62,17,9,4842
210031239,7,39,122,77,85,44,11,0,0,384,9,48,145,117,75,59,12,0,0,471,343,1012,3523,2875,2217,1270,214,21,3,11483
210031438,11,30,112,84,69,51,7,0,0,362,20,65,174,130,81,44,17,6,0,531,293,980,3255,2131,1536,858,151,22,6,9226
210031439,0,3,13,13,16,7,0,0,0,59,0,0,13,11,12,5,4,0,0,44,62,87,303,438,342,160,33,3,0,1433
210031440,3,7,31,33,22,10,3,0,0,115,3,9,28,20,13,20,6,0,0,110,72,214,581,504,450,239,55,5,3,2136
210041240,18,33,33,46,70,46,7,0,0,254,11,25,42,55,53,31,16,0,0,237,378,628,1076,1316,1606,1084,195,11,0,6294
210041241,22,64,143,127,104,76,12,0,0,552,35,53,90,112,136,72,21,0,5,521,750,1359,2957,2795,2944,2006,392,27,16,13240
210051242,3,17,54,33,29,19,3,0,0,156,13,32,96,54,66,28,8,3,0,305,133,506,1272,739,665,453,71,12,0,3838
210051243,3,23,49,51,40,23,6,0,0,195,15,54,106,81,76,35,7,8,0,378,193,553,1212,871,830,436,98,14,3,4215
210051245,9,33,75,62,74,60,11,0,0,326,15,43,78,84,96,84,22,3,0,433,385,806,1743,1639,1764,1399,319,14,3,8073
210051246,8,38,73,61,90,58,15,0,0,352,15,56,88,63,110,62,17,0,0,416,483,965,1732,1544,2009,1233,250,17,3,8237
210051247,7,17,37,31,35,18,0,0,0,144,18,44,85,81,88,43,7,3,0,354,223,599,1065,865,981,511,52,7,0,4308
210051248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,11,13,15,21,3,3,0,0,58
210051249,11,29,72,76,53,26,5,0,0,276,32,66,109,109,131,42,7,0,0,481,450,922,1590,1776,1885,719,90,0,3,7428
210051250,3,12,32,18,24,14,0,0,0,102,4,27,46,43,46,28,11,3,0,203,82,277,896,642,552,422,111,5,0,2982
210051441,3,15,34,38,23,21,4,0,0,136,9,23,63,48,56,34,3,0,0,231,174,396,882,764,796,498,89,3,0,3596
210051442,5,13,53,66,30,20,0,0,0,193,8,31,72,79,52,22,3,0,0,268,230,470,1311,1628,964,409,50,0,0,5051
210051443,10,26,85,41,67,35,3,0,0,266,21,55,112,82,97,38,6,0,0,412,376,783,2023,1670,1513,784,90,4,0,7244
210051444,3,22,82,51,23,5,4,0,0,186,12,43,133,89,35,23,3,0,0,333,173,528,2498,1736,715,278,32,0,0,5961
210051445,4,9,35,9,14,5,3,0,0,82,5,10,30,18,16,9,7,3,0,100,74,190,578,360,342,150,30,12,0,1730
211011251,6,26,68,51,44,27,12,0,0,233,9,19,89,58,70,47,9,4,0,314,212,502,1605,1264,1182,773,205,20,3,5760
211011254,10,29,65,61,72,45,9,0,0,291,14,31,76,85,106,52,9,3,0,376,341,681,1588,1720,1658,1096,258,21,0,7366
211011255,11,19,21,30,47,37,3,0,0,170,8,9,26,33,58,38,3,0,0,178,285,457,435,703,1113,633,73,6,0,3702
211011256,21,47,71,61,90,67,13,0,0,379,11,31,67,95,90,85,20,3,0,401,453,888,1636,1559,1891,1461,214,16,4,8123
211011257,6,16,18,47,47,27,0,0,0,176,9,16,19,31,66,35,5,3,0,191,291,416,618,973,1166,612,106,4,0,4191
211011258,3,27,32,50,65,40,6,0,0,214,7,27,44,51,83,46,14,7,0,270,369,592,905,1147,1502,947,202,14,3,5683
211011259,8,18,59,55,60,51,12,0,0,256,11,35,64,52,63,68,18,0,4,317,281,598,1366,1412,1368,1343,317,21,7,6705
211011260,13,45,55,69,86,67,11,0,0,344,14,39,72,85,81,85,24,6,0,406,448,908,1662,1502,1943,1748,374,19,5,8617
211011446,8,41,137,105,66,71,19,3,0,457,5,50,129,127,142,91,29,9,4,580,418,964,2709,2393,2067,1676,416,41,5,10694
211011447,6,28,68,62,63,36,18,3,0,293,11,25,77,66,93,60,13,0,0,354,287,550,1569,1487,1488,1040,238,20,5,6691
211011448,11,29,57,74,71,47,18,0,0,309,12,40,70,85,90,56,9,0,0,370,441,691,1546,1666,1701,1273,251,22,3,7590
211011449,0,4,17,28,29,18,0,0,0,95,10,9,24,31,27,23,10,0,0,120,118,171,439,518,525,392,80,0,0,2245
211021261,9,23,40,52,82,63,23,3,0,291,13,29,57,69,87,74,27,8,4,366,434,730,1089,1490,2027,1385,427,61,9,7642
211021262,10,19,19,30,56,34,13,3,0,192,8,20,26,42,75,49,23,4,0,244,369,531,575,874,1510,1035,280,53,4,5225
