SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL20389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,9,0,0,0,0,14
SAL20390,0,4,0,4,0,6,0,0,0,19,0,3,0,0,3,0,0,3,0,13,19,47,40,21,44,64,17,53,6,313
SAL20391,0,0,0,0,0,4,0,0,0,6,0,0,0,0,4,0,0,0,0,3,11,17,5,3,19,16,0,23,0,101
SAL20392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,3,8,9,0,5,0,41
SAL20393,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,4,0,3,10,28,9,13,33,34,14,34,0,164
SAL20394,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,6,17,25,11,11,13,3,33,3,114
SAL20395,0,3,0,0,0,0,0,4,0,13,0,0,0,0,3,0,0,0,3,15,23,38,22,24,33,60,25,25,3,253
SAL20396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,6,0,0,0,29
SAL20397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20398,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,9,7,9,4,5,0,30
SAL20399,33,80,65,36,97,97,39,34,7,485,14,87,80,32,143,124,26,43,121,668,715,2251,1739,1105,3027,2828,679,1085,232,13656
SAL20400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,17
SAL20401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,3,15,0,35
SAL20402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,22
SAL20403,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,11,4,4,12,9,5,13,0,58
SAL20404,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,5,5,11,28,16,7,27,25,13,28,4,154
SAL20405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15
SAL20406,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,5,0,6,0,27
SAL20407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,3,14
SAL20409,9,6,9,4,10,10,0,0,0,50,3,6,5,3,3,3,0,4,12,43,120,260,216,147,312,338,96,241,23,1753
SAL20410,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,5,7,23,20,13,22,22,9,19,0,141
SAL20411,3,18,5,3,8,15,4,6,7,67,4,9,6,0,12,17,10,4,13,79,85,233,172,98,254,308,93,181,50,1481
SAL20412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,4,5,3,10,7,0,10,7,45
SAL20413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL20415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9
SAL20416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,16
SAL20417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,3,27
SAL20418,5,7,0,0,3,0,0,0,0,5,0,0,5,0,4,0,0,3,0,14,25,57,34,30,89,139,47,84,5,511
SAL20419,9,17,11,14,22,19,9,14,0,113,4,14,13,6,28,23,12,7,40,144,121,336,292,199,614,581,141,187,49,2531
SAL20420,3,19,25,6,26,25,3,3,0,112,5,17,14,7,33,32,3,9,41,155,126,396,347,235,744,736,121,212,71,2985
SAL20421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,6,0,11,0,21
SAL20422,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,16,14,3,23,31,11,17,0,130
SAL20423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,13
SAL20424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,9,0,15
SAL20425,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,11,18,11,8,28,19,9,16,0,112
SAL20426,14,43,36,22,46,41,5,15,0,228,17,44,41,7,70,51,10,23,70,344,374,1398,989,534,1439,1540,345,669,121,7410
SAL20427,11,38,28,11,29,36,9,19,0,181,7,19,38,14,55,54,5,7,44,249,200,830,657,390,1157,1046,250,396,85,5015
SAL20428,0,0,0,0,0,6,0,4,0,17,3,0,0,0,0,0,0,0,0,8,19,54,39,31,53,66,21,50,4,333
SAL20429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,3,8,0,25
SAL20430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20431,0,4,0,0,3,3,0,3,0,11,3,0,0,3,0,0,0,0,0,8,19,39,38,29,44,46,13,32,5,268
SAL20432,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,10,8,7,13,3,30,4,83
SAL20433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,3,11,9,0,21,5,65
SAL20434,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,12,9,11,12,20,10,13,0,93
SAL20435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,7,3,6,10,4,15,3,62
SAL20436,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,12,3,11,9,14,6,20,0,79
SAL20437,0,3,3,0,0,0,3,4,0,16,0,0,0,0,4,0,0,0,0,7,12,31,21,22,40,49,14,49,3,243
SAL20438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4
SAL20439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,5,0,21
SAL20440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL20441,17,32,39,16,45,41,8,15,0,210,15,41,21,20,88,66,13,14,62,333,238,696,501,382,1195,1047,200,320,112,4701
SAL20442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
