SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC50338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50339,0,0,0,0,0,0,0,0,0,13,4,0,15,0,3,3,20,11,0,32
SSC50340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC50341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50342,0,0,0,0,0,0,0,0,0,62,70,8,135,4,3,7,143,58,0,199
SSC50343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC50344,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SSC50345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50346,0,0,0,0,0,0,0,0,0,13,25,3,38,3,0,3,44,8,0,55
SSC50347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50349,0,0,0,0,0,3,4,0,7,84,77,3,165,10,11,15,182,120,0,311
SSC50350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50351,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,4,0,8
SSC50352,0,0,0,0,0,0,0,0,0,17,13,0,24,0,0,3,27,20,0,44
SSC50353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
SSC50354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
