SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC21325,35,34,67,18,6,28,6,8,20,0,3,3,0,3,3,29,21,50,4,8,16,0,14.3,6,82.9,61.8,74.6,68.6,50,76.1,0,0,4,0,0,0,4,5,7,5,7,15,7,3,11,0,0,0,0,0,0,7,10,14,33,29,59,8,3,12,24,20,45,7,12,17
SSC21326,40,31,65,16,8,20,3,3,7,0,0,6,0,0,4,20,10,34,9,14,21,0,0,11.8,50,32.3,52.3,47.5,35.5,50.8,0,0,0,0,0,0,3,3,9,0,4,5,11,3,14,0,0,0,0,7,7,11,7,18,34,27,61,3,0,3,28,16,45,8,7,17
SSC21327,25,16,39,5,3,9,0,0,0,0,0,0,0,0,0,13,3,14,8,7,19,0,0,0,52,18.8,35.9,20,18.8,23.1,0,0,0,0,0,0,4,0,4,0,7,9,8,0,13,0,0,0,0,0,0,8,0,13,21,14,33,3,0,4,21,14,32,3,0,4
SSC21328,9748,10907,20655,4471,2987,7458,1533,2662,4197,224,308,533,345,313,659,6571,6270,12844,2519,3965,6482,5.3,5,5.1,67.4,57.5,62.2,63.9,54.6,59,1393,1212,2605,322,536,855,2958,3312,6264,670,1046,1712,748,373,1118,29,70,92,86,160,246,865,594,1459,8862,9770,18632,1774,1987,3763,5764,6322,12089,4672,5257,9926
SSC21329,2550,2738,5294,1179,691,1873,419,810,1227,49,75,121,95,67,162,1741,1645,3383,675,968,1642,5.5,4.1,4.8,68.3,60.1,63.9,64.6,57.6,60.8,296,311,608,97,155,254,717,812,1528,183,247,432,224,116,339,16,14,29,28,43,67,271,174,442,2622,2714,5341,385,377,764,1871,1996,3867,1041,1036,2074
SSC21330,18,16,34,8,3,10,0,8,8,0,0,0,0,0,0,8,9,20,8,9,17,0,0,0,44.4,56.3,58.8,44.4,68.8,52.9,0,0,0,0,0,0,0,3,4,0,3,4,6,0,8,0,0,0,0,0,0,6,3,10,16,18,34,4,7,8,15,12,30,3,4,8
SSC21331,10122,10555,20679,4803,2958,7756,1273,2156,3425,260,312,570,521,479,996,6858,5902,12758,2914,4283,7192,7.6,8.1,7.8,67.8,55.9,61.7,62.6,51.4,56.8,457,452,908,114,183,293,1447,1625,3070,840,947,1790,1591,737,2324,52,102,155,132,179,312,1770,1018,2786,10271,10576,20849,1627,1714,3340,6709,6829,13536,4651,4886,9536
SSC21332,2541,2778,5314,1383,700,2085,270,823,1098,85,95,181,68,63,129,1801,1684,3488,586,945,1529,3.8,3.7,3.7,70.9,60.6,65.6,68.4,58.2,63.3,54,48,101,50,100,144,238,410,648,202,288,493,671,290,960,15,36,51,30,51,81,723,374,1093,2608,2742,5345,407,446,856,1820,1886,3705,1047,1175,2220
SSC21333,62,61,119,34,13,54,4,28,28,5,3,3,0,0,4,43,44,89,14,12,29,0,0,4.5,69.4,72.1,74.8,69.4,72.1,71.4,0,3,5,0,0,0,4,10,18,10,11,13,25,5,24,0,3,3,0,0,0,25,6,30,58,55,113,7,5,12,51,51,101,17,9,24
SSC21334,168,157,333,88,36,123,25,58,83,6,5,14,3,4,10,123,108,232,38,39,83,2.4,3.7,4.3,73.2,68.8,69.7,70.8,63.1,66.1,0,3,4,3,4,7,8,29,39,17,14,32,56,19,76,3,0,7,8,0,5,65,26,86,182,165,346,28,19,44,150,132,279,48,50,99
